, ,2/1/2025,2/1/2025,2/1/2025,2/1/2025,Area (mi2),2/1/2025,2/1/2025
,"6,000-7,000'",27,0.7,13.5,"3,107",84,NA,NA
,"7,000-8,000'",74,4.1,66.7,"93,998",431,NA,NA
,"8,000-9,000'",92,6.6,88.6,"294,655",836,5.4 ( 2 ),NA
,"9,000-10,000'",94,7.1,82.5,"308,344",819,7.0 ( 4 ),NA
,"10,000-11,000'",87,7.3,73.4,"180,497",465,11.3 ( 5 ),NA
,"11,000-12,000'",94,9.9,88.2,"110,669",209,11.6 ( 2 ),NA
,">12,000'",99,10.8,95.2,"17,268",30,NA,NA
6. Colorado Headwaters-Plateau,"7,000-8,000'",57,2.3,38.2,"85,775",693,NA,NA
,"8,000-9,000'",82,5.1,64.7,"175,143",644,NA,NA
,"9,000-10,000'",87,7.3,75.1,"108,369",277,NA,NA
,"10,000-11,000'",84,7.6,74.2,"73,944",183,7.3 ( 1 ),NA
,"11,000-12,000'",91,11.5,97.3,"3,140",5,NA,NA
7. Eagle,"7,000-8,000'",82,3.9,60.2,"32,662",155,NA,NA
,"8,000-9,000'",87,5.5,72.6,"53,344",181,7.3 ( 1 ),NA
,"9,000-10,000'",82,5.8,68.2,"61,595",199,8.0 ( 1 ),NA
,"10,000-11,000'",72,5,52.6,"58,477",219,9.3 ( 1 ),NA
,"11,000-12,000'",85,8.6,78.5,"60,853",132,NA,NA
,"12,000-13,000'",93,11.3,97.1,"19,367",32,NA,NA
,"13,000-14,000'",97,11.5,100,"1,243",2,NA,NA
8. Gila,"6,000-7,000'",0,0,0,0,"1,912",NA,NA
,"7,000-8,000'",0,0,0,23,"2,100",NA,NA
,"8,000-9,000'",1,0,0.9,500,793,0.1 ( 4 ),NA
,"9,000-10,000'",8,0.2,8.2,983,109,1.7 ( 1 ),NA
,"10,000-11,000'",26,0.9,32.2,478,10,NA,NA
9. Gunnison,"7,000-8,000'",55,2.5,46.8,"133,488","1,020",NA,NA
,"8,000-9,000'",82,5.3,80.5,"485,490","1,710",7.0 ( 1 ),NA
,"9,000-10,000'",83,5.8,78,"483,002","1,555",6.7 ( 4 ),NA
,"10,000-11,000'",77,5.4,66.2,"354,675","1,223",9.1 ( 3 ),NA
,"11,000-12,000'",83,7.8,83,"265,301",642,7.8 ( 3 ),NA
,"12,000-13,000'",86,9.7,97.8,"136,986",266,NA,NA
,"13,000-14,000'",86,9.4,96.9,"8,978",18,NA,NA
10. Little Colorado,"6,000-7,000'",0,0,0,65,"9,987",NA,NA
,"7,000-8,000'",0,0,0.3,"1,062","5,626",0.3 ( 2 ),0.2 ( 1 )
,"8,000-9,000'",2,0,2.9,"1,513",600,0.7 ( 1 ),0.3 ( 2 )
,"9,000-10,000'",1,0,1.3,240,147,2.9 ( 2 ),0.7 ( 1 )
,"10,000-11,000'",3,0.1,2.5,78,16,NA,NA
,">11,000'",34,2.3,35,477,4,NA,NA
11. Lower Colorado Mainstream,"5,000-6,000'",0,0,0,15,"5,722",NA,NA
,"6,000-7,000'",0,0,0,25,"3,476",NA,NA
,"7,000-8,000'",0,0,0.1,107,872,0.0 ( 1 ),0.2 ( 2 )
,"8,000-9,000'",5,0.1,5.5,"3,617",542,2.4 ( 1 ),NA
,"9,000-10,000'",21,0.9,29,"4,048",81,3.2 ( 2 ),NA
,"10,000-11,000'",27,1.1,24.9,76,1,NA,NA
12. Lower Green,"7,000-8,000'",39,1.8,38.6,"214,848","2,253",5.1 ( 1 ),NA
,"8,000-9,000'",56,3.6,60.7,"337,198","1,766",4.2 ( 10 ),NA
,"9,000-10,000'",69,5.7,80.4,"275,528",899,6.1 ( 8 ),NA
,"10,000-11,000'",77,7.4,90,"198,507",503,7.5 ( 5 ),NA
,"11,000-12,000'",79,8.3,92.5,"88,025",199,NA,NA
,">12,000'",79,8.4,89.5,"12,221",27,NA,NA
13. Lower Rio Grande,"8,000-9,000'",6,0.1,3.2,"8,345","1,497",0.5 ( 2 ),NA
,"9,000-10,000'",26,0.7,14.5,"8,927",248,2.2 ( 1 ),NA
,"10,000-11,000'",51,2.2,40.4,"5,567",47,NA,NA
,"11,000-12,000'",64,4.2,62.9,586,3,4.5 ( 1 ),NA
14. Lower Sevier,"6,000-7,000'",29,0.4,11.5,"11,597",500,7.4 ( 1 ),NA
,"7,000-8,000'",48,1.8,36.4,"23,778",252,3.9 ( 2 ),NA
,"8,000-9,000'",56,3.2,54.9,"19,250",113,NA,NA
,"9,000-10,000'",66,5.7,81.3,"9,812",32,NA,NA
15. Pecos,"9,000-10,000'",31,0.7,16.1,"7,404",195,NA,NA
,"10,000-11,000'",79,4,73.7,"20,472",96,2.7 ( 2 ),NA
,"11,000-12,000'",77,5.4,85,"10,904",38,NA,NA
,"12,000-13,000'",82,7.8,98.3,924,2,NA,NA
16. Provo-Utah Lake-Jordan,"5,000-6,000'",37,0.9,29.8,"33,598",678,NA,NA
,"6,000-7,000'",56,2.9,63.5,"107,123",702,NA,NA
,"7,000-8,000'",65,5.1,82.7,"178,335",656,8.6 ( 4 ),NA
,"8,000-9,000'",71,6.8,87.2,"142,875",394,9.1 ( 6 ),NA
,"9,000-10,000'",75,8.5,90.2,"91,316",202,11.0 ( 3 ),10.5 ( 1 )
,"10,000-11,000'",78,9.7,91.2,"24,265",47,NA,NA
,"11,000-12,000'",80,10.4,96.4,694,1,NA,NA
17. Rio Chama-Upper Rio Grande,"7,000-8,000'",0,0,0.3,836,"2,421",NA,NA
,"8,000-9,000'",5,0.1,4.5,"9,040","1,222",1.0 ( 2 ),NA
,"9,000-10,000'",32,1.5,34.9,"66,746",844,2.6 ( 4 ),NA
,"10,000-11,000'",49,3,54.5,"85,277",532,4.1 ( 5 ),NA
,"11,000-12,000'",57,4.1,59.5,"35,079",161,5.5 ( 1 ),NA
,"12,000-13,000'",84,7.7,96.4,"10,857",26,NA,NA
18. Rio Grande Headwaters,"7,000-8,000'",9,0.2,7.9,"29,392","2,671",NA,NA
,"8,000-9,000'",33,1,28.5,"76,696","1,418",NA,NA
,"9,000-10,000'",54,2.3,48.2,"157,836","1,262",3.2 ( 3 ),NA
,"10,000-11,000'",65,3.7,60.5,"226,675","1,149",5.1 ( 5 ),NA
,"11,000-12,000'",77,6.2,82.2,"276,792",839,6.2 ( 5 ),NA
,"12,000-13,000'",80,7.8,95.6,"101,690",244,NA,NA
,"13,000-14,000'",86,8.3,95.9,"5,360",12,NA,NA
19. Roaring Fork,"7,000-8,000'",78,4.4,70.5,"46,236",197,NA,NA
,"8,000-9,000'",83,5.4,72.2,"75,061",259,5.5 ( 1 ),NA
,"9,000-10,000'",77,5.6,65.1,"79,760",269,7.5 ( 2 ),NA
,"10,000-11,000'",71,6.1,62.5,"85,745",266,10.5 ( 4 ),NA
,"11,000-12,000'",87,9.9,88.7,"134,526",254,NA,NA
,"12,000-13,000'",91,11.6,98.2,"67,557",109,NA,NA
,"13,000-14,000'",89,11.5,96.1,"3,892",6,NA,NA
20. Salt,"6,000-7,000'",0,0,0,0,"1,253",NA,NA
,"7,000-8,000'",0,0,0,0,510,0.2 ( 4 ),NA
,"8,000-9,000'",0,0,0,2,400,0.7 ( 2 ),NA
,"9,000-10,000'",0,0,0.5,77,166,0.6 ( 2 ),NA
,">10,000'",3,0.2,3.2,252,31,NA,NA
21. San Juan,"7,000-8,000'",1,0,1.4,"6,916","3,746",NA,NA
,"8,000-9,000'",11,0.4,12.2,"25,162","1,064",3.5 ( 2 ),NA
,"9,000-10,000'",43,2.3,42.2,"70,156",581,1.8 ( 4 ),NA
,"10,000-11,000'",64,4.7,67.3,"109,469",438,8.3 ( 8 ),NA
,"11,000-12,000'",72,7.2,87.3,"152,597",399,10.8 ( 2 ),NA
,"12,000-13,000'",74,8.5,96.3,"77,435",172,NA,NA
,"13,000-14,000'",78,8.8,92.1,"3,370",7,NA,NA
22. San Pitch,"5,000-6,000'",4,0.1,2.1,794,269,NA,NA
,"6,000-7,000'",37,1.4,34.2,"15,970",217,NA,NA
,"7,000-8,000'",47,2.5,49.5,"18,669",141,NA,NA
,"8,000-9,000'",58,4.2,60.4,"26,136",118,6.4 ( 4 ),5.7 ( 1 )
,"9,000-10,000'",71,7,81,"28,764",77,10.8 ( 1 ),NA
,"10,000-11,000'",76,9.1,94.3,"17,068",35,9.6 ( 1 ),NA
23. South Platte,"7,000-8,000'",94,2.3,48.2,"175,572","1,416",NA,NA
,"8,000-9,000'",89,3.3,59.3,"260,242","1,466",4.1 ( 3 ),NA
,"9,000-10,000'",88,3.8,62.1,"293,118","1,435",9.5 ( 6 ),NA
,"10,000-11,000'",77,4.4,56.1,"160,979",686,8.1 ( 7 ),NA
,"11,000-12,000'",86,7.4,79.4,"172,048",439,8.3 ( 5 ),6.8 ( 1 )
,"12,000-13,000'",92,9.1,93.1,"75,368",156,NA,NA
,">13,000'",94,9.1,90.2,"10,342",21,NA,NA
24. Southwestern Utah,"6,000-7,000'",0,0,0,0,965,0.0 ( 2 ),NA
,"7,000-8,000'",2,0,1.8,578,275,0.0 ( 1 ),NA
,"8,000-9,000'",15,0.4,15.4,"3,049",130,2.1 ( 2 ),NA
,"9,000-10,000'",38,2.1,53.6,"6,714",60,NA,NA
,">10,000'",52,3.6,65.9,"2,063",11,5.5 ( 1 ),NA
25. Toole Valley-Vernon Creek,"5,000-6,000'",16,0.2,26.9,"7,040",555,NA,NA
,"6,000-7,000'",52,1.6,50,"16,763",191,4.5 ( 1 ),NA
,"7,000-8,000'",69,3.9,68.9,"21,984",107,4.2 ( 1 ),NA
,"8,000-9,000'",75,6.3,87.3,"14,074",42,9.7 ( 2 ),NA
,">9,000'",76,8.1,93.7,"5,149",12,NA,NA
26. Upper Arkansas,"7,000-8,000'",75,1.3,43,"123,165","1,755",NA,NA
,"8,000-9,000'",73,2.1,51.3,"169,090","1,501",NA,NA
,"9,000-10,000'",80,3.4,62.1,"237,691","1,312",3.4 ( 1 ),NA
,"10,000-11,000'",72,3.4,52.2,"106,238",586,6.2 ( 4 ),NA
,"11,000-12,000'",81,6.5,76.2,"149,247",433,5.7 ( 2 ),NA
,"12,000-13,000'",88,8.9,94.2,"117,156",248,NA,NA
,">13,000'",92,9.3,93.4,"19,906",40,NA,NA
27. Upper Colorado-Dirty Devil,"7,000-8,000'",4,0.1,1.5,"3,151","1,116",NA,NA
,"8,000-9,000'",24,1,23.2,"41,994",785,2.3 ( 2 ),NA
,"9,000-10,000'",44,2.4,43.1,"53,735",428,3.5 ( 5 ),NA
,"10,000-11,000'",54,3.3,48.4,"36,600",209,NA,NA
,"11,000-12,000'",78,5.9,77.2,"18,346",58,NA,NA
28. Upper Colorado-Dolores,"7,000-8,000'",17,0.5,13.7,"35,214","1,409",NA,NA
,"8,000-9,000'",54,2.8,58.6,"161,954","1,082",3.6 ( 1 ),3.6 ( 1 )
,"9,000-10,000'",65,4.4,69.4,"116,255",500,6.0 ( 3 ),NA
,"10,000-11,000'",59,4.1,56.8,"60,997",280,6.9 ( 2 ),NA
,"11,000-12,000'",69,6.9,78.9,"44,537",121,10.0 ( 1 ),NA
,"12,000-13,000'",80,9.8,95.5,"19,858",38,NA,NA
,"13,000-14,000'",80,10.8,95,"2,122",4,NA,NA
29. Upper Sevier,"6,000-7,000'",11,0.1,5.1,"5,449",831,NA,NA
,"7,000-8,000'",19,0.6,15.5,"41,687","1,307",1.7 ( 2 ),NA
,"8,000-9,000'",27,1.2,25.7,"58,684",928,2.4 ( 3 ),3.4 ( 1 )
,"9,000-10,000'",49,2.9,56.7,"80,518",521,4.6 ( 9 ),NA
,"10,000-11,000'",59,4.4,67.2,"37,741",161,4.0 ( 1 ),NA
,"11,000-12,000'",71,7.3,89.2,"3,626",9,NA,NA
30. Verde,"6,000-7,000'",0,0,0,0,"1,299",0.2 ( 1 ),NA
,"7,000-8,000'",0,0,0.8,261,496,0.5 ( 6 ),NA
,"8,000-9,000'",4,0.1,7.2,145,18,NA,NA
,"9,000-10,000'",15,0.8,19.9,81,2,NA,NA
,">10,000'",24,1.7,25.2,116,1,NA,NA
31. Weber-Ogden,"5,000-6,000'",60,2.9,65.3,"44,222",288,NA,NA
,"6,000-7,000'",67,4.4,80.7,"166,536",712,8.1 ( 3 ),NA
,"7,000-8,000'",75,6.4,90.4,"231,528",675,9.9 ( 7 ),NA
,"8,000-9,000'",77,7.9,90.5,"98,521",234,8.6 ( 4 ),NA
,"9,000-10,000'",77,8.3,86.2,"42,244",96,8.5 ( 2 ),NA
,">10,000'",82,9.5,89.4,"17,723",35,NA,NA
32. White-Yampa,"7,000-8,000'",80,5.2,76.1,"930,678","3,360",6.9 ( 1 ),NA
,"8,000-9,000'",90,6.9,80.8,"533,879","1,446",10.0 ( 5 ),NA
,"9,000-10,000'",92,7.9,78.4,"295,706",700,10.1 ( 6 ),NA
,"10,000-11,000'",89,9,82.2,"172,923",362,19.0 ( 2 ),NA
,">11,000'",94,11.3,95.7,"48,105",80,NA,NA
