, ,2/1/2025,2/1/2025,2/1/2025,2/1/2025,2/1/2025,2/1/2025,2/1/2025
,"10,000-11,000'",88,7.7,75,"168,510",409,15.3 ( 5 ),NA
,"11,000-12,000'",97,10.7,91.7,"35,044",61,NA,NA
,"12,000-13,000'",101,11.1,95.2,"1,771",3,NA,NA
8. Powder,"2,000-3,000'",149,2.6,72,"168,907","1,208",NA,NA
,"3,000-4,000'",141,3.1,90,"667,538","3,983",NA,NA
,"4,000-5,000'",107,1.9,54.5,"480,335","4,641",NA,NA
,"5,000-6,000'",84,1.6,48.8,"170,637","2,030",NA,NA
,"6,000-7,000'",76,1.9,52.6,"60,378",596,NA,NA
,"7,000-8,000'",85,3.9,72.9,"102,265",496,NA,NA
,"8,000-9,000'",79,4.3,71.6,"66,639",289,3.8 ( 4 ),1.8 ( 2 )
,"9,000-10,000'",68,4.3,64.7,"18,516",81,6.6 ( 1 ),NA
,"10,000-11,000'",74,5.9,78.3,"13,162",42,NA,NA
,">11,000'",64,5.7,62.1,"5,757",19,NA,NA
9. Smith-Judith-Musselshell,"4,000-5,000'",107,3.1,55.6,"682,473","4,188",NA,NA
,"5,000-6,000'",98,4.5,74.3,"597,629","2,486",NA,NA
,"6,000-7,000'",82,4.4,63.3,"266,134","1,131",9.4 ( 4 ),3.3 ( 1 )
,"7,000-8,000'",79,4.6,56.3,"117,108",475,10.4 ( 4 ),NA
,"8,000-9,000'",83,5.5,58.9,"15,689",53,NA,NA
,"9,000-10,000'",70,4.1,41.8,335,2,NA,NA
10. Snake,"5,000-6,000'",83,5.2,86.4,"73,498",266,NA,NA
,"6,000-7,000'",82,6,88.7,"404,167","1,259",8.5 ( 2 ),NA
,"7,000-8,000'",77,6.3,82.2,"562,563","1,676",9.5 ( 5 ),NA
,"8,000-9,000'",75,7,81,"545,784","1,454",11.7 ( 3 ),NA
,"9,000-10,000'",75,8.3,85.4,"340,304",767,10.0 ( 2 ),NA
,"10,000-11,000'",76,9.8,89.7,"102,002",196,NA,NA
,">11,000'",76,8.5,79.9,"3,199",7,NA,NA
11. Sun-Teton-Marias,"3,000-4,000'",152,2.9,51.2,"991,117","6,402",NA,NA
,"4,000-5,000'",98,1.5,24.5,"209,517","2,559",NA,NA
,"5,000-6,000'",91,3.8,52.3,"125,532",622,2.8 ( 4 ),5.0 ( 1 )
,"6,000-7,000'",92,4.8,57.2,"144,019",562,8.2 ( 1 ),NA
,"7,000-8,000'",98,6.7,69.6,"105,782",298,12.8 ( 1 ),NA
,">8,000'",104,7.3,71.4,"7,856",20,NA,NA
12. Tongue,"2,000-3,000'",147,2.2,61.2,"105,354",883,NA,NA
,"3,000-4,000'",126,3.1,85.9,"457,942","2,793",NA,NA
,"4,000-5,000'",110,3,80.6,"190,540","1,207",NA,NA
,"5,000-6,000'",70,1.5,36.8,"3,955",51,NA,NA
,"6,000-7,000'",67,2.2,43.2,"4,076",35,NA,NA
,"7,000-8,000'",75,4.1,64.7,"26,508",120,5.8 ( 2 ),NA
,"8,000-9,000'",57,3.4,47.6,"31,270",172,5.5 ( 4 ),6.2 ( 2 )
,"9,000-10,000'",71,5.6,67.1,"34,976",116,NA,7.5 ( 1 )
,"10,000-11,000'",84,8.1,88.8,"9,350",22,NA,NA
,"11,000-12,000'",80,8.2,87.2,846,2,NA,NA
13. Upper Clark Fork,"3,000-4,000'",81,3.3,63.2,"27,497",157,NA,NA
,"4,000-5,000'",85,3.6,60.4,"278,165","1,435",NA,2.0 ( 1 )
,"5,000-6,000'",85,4.3,64.2,"455,936","1,986",3.1 ( 3 ),NA
,"6,000-7,000'",83,4,52.6,"339,721","1,577",8.0 ( 2 ),4.2 ( 3 )
,"7,000-8,000'",85,4.6,51.2,"162,455",660,7.1 ( 6 ),6.8 ( 5 )
,"8,000-9,000'",81,5.8,60.4,"46,422",149,6.1 ( 1 ),NA
,">9,000'",90,8.6,86.4,"7,942",17,NA,NA
14. Upper Green,"7,000-8,000'",77,4.7,82.3,"1,577,950","6,357",5.9 ( 2 ),NA
,"8,000-9,000'",77,6,86.3,"512,300","1,595",8.5 ( 7 ),NA
,"9,000-10,000'",74,6.6,82,"313,304",892,6.9 ( 9 ),NA
,"10,000-11,000'",74,7.4,79.4,"185,364",470,8.3 ( 2 ),NA
,"11,000-12,000'",78,8.9,86.5,"91,600",193,NA,NA
,"12,000-13,000'",81,9.8,88.9,"16,521",32,NA,NA
,"13,000-14,000'",71,7.5,65.6,116,0,NA,NA
15. Upper Missouri,"4,000-5,000'",124,3.7,75.8,"231,371","1,174",NA,NA
,"5,000-6,000'",89,4.3,73.3,"241,785","1,058",NA,NA
,"6,000-7,000'",80,4.6,68.4,"139,262",562,3.7 ( 1 ),3.0 ( 2 )
,"7,000-8,000'",75,4.2,54.3,"29,628",132,5.1 ( 1 ),4.4 ( 1 )
,">8,000'",81,5.9,63.6,"7,687",24,NA,NA
16. Upper Snake Basins,"4,000-5,000'",82,2.5,78.7,"120,325",891,NA,NA
,"5,000-6,000'",81,4.7,93.2,"480,807","1,909",NA,NA
,"6,000-7,000'",83,6.4,85.7,"971,961","2,847",8.8 ( 5 ),7.8 ( 4 )
,"7,000-8,000'",77,5.8,68.3,"252,697",821,11.6 ( 4 ),12.3 ( 3 )
,"8,000-9,000'",84,8.4,82.4,"148,686",333,NA,12.3 ( 2 )
,"9,000-10,000'",78,9.7,87.6,"34,983",67,22.3 ( 1 ),NA
,"10,000-11,000'",78,10.5,87,"3,721",7,NA,NA
17. Upper Yellowstone,"4,000-5,000'",125,2.1,49.3,"380,673","3,414",NA,NA
,"5,000-6,000'",98,3.7,72.5,"349,332","1,794",2.9 ( 1 ),NA
,"6,000-7,000'",76,3.9,66.3,"218,587","1,046",4.8 ( 4 ),NA
,"7,000-8,000'",69,3.9,57.1,"279,327","1,359",7.0 ( 6 ),NA
,"8,000-9,000'",79,4.7,58.4,"465,753","1,839",9.5 ( 5 ),5.6 ( 1 )
,"9,000-10,000'",82,6.6,71.3,"417,612","1,182",11.9 ( 4 ),NA
,"10,000-11,000'",79,8.1,83.3,"161,620",374,NA,NA
,"11,000-12,000'",75,7.9,77.6,"25,218",60,NA,NA
,"12,000-13,000'",77,6.2,62.1,546,2,NA,NA
18. Wood and Lost Basins,"5,000-6,000'",91,4.9,84.9,"724,906","2,754",8.5 ( 2 ),NA
,"6,000-7,000'",84,5.1,79,"508,799","1,853",5.9 ( 3 ),NA
,"7,000-8,000'",81,5.6,78.4,"411,446","1,378",7.0 ( 6 ),8.1 ( 1 )
,"8,000-9,000'",77,6.5,79.4,"303,788",879,7.4 ( 3 ),NA
,"9,000-10,000'",80,8.2,85.6,"191,134",436,7.5 ( 1 ),NA
,"10,000-11,000'",80,8.2,82.4,"49,375",112,NA,NA
,"11,000-12,000'",80,8.5,82.5,"3,869",8,NA,NA
