, ,2/16/2025,3/1/2025,2/16/2025,3/1/2025,3/1/2025,3/1/2025,Area (mi2),2/16/2025,3/1/2025,3/1/2025
,"3,000-4,000'",44,33,1.1,0.7,4.1,"14,979",377,10.4 ( 8 ),11.9 ( 8 ),16.2 ( 1 )
,"4,000-5,000'",103,70,4.4,3.3,14.2,"38,645",222,12.8 ( 1 ),15.6 ( 1 ),NA
,"5,000-6,000'",144,121,18.8,18.1,57.6,"96,019",100,35.0 ( 2 ),40.9 ( 2 ),NA
,"6,000-7,000'",121,116,31.7,34.4,91.4,"62,132",34,NA,NA,NA
,"7,000-8,000'",102,103,41.3,47.5,91.6,"10,031",4,NA,NA,NA
,"8,000-9,000'",100,99,76.4,78.6,91.4,"4,048",1,NA,NA,NA
,"9,000-10,000'",59,58,38.6,44.4,91.2,"1,143",0,NA,NA,NA
,"10,000-11,000'",122,120,131.8,134.3,89.7,"6,222",1,NA,NA,NA
,"11,000-12,000'",134,133,104.8,158.8,89.9,"5,721",1,NA,NA,NA
,"12,000-13,000'",99,99,209.5,214.1,93.6,"2,204",0,NA,NA,NA
,">13,000'",106,108,368,374.4,99,"5,782",0,NA,NA,NA
12. Upper Columbia,"3,000-4,000'",138,144,9.8,10.4,72.5,"1,430,485","2,568",NA,NA,7.0 ( 8 )
,"4,000-5,000'",131,130,12.4,14,79.2,"1,084,244","1,451",9.4 ( 4 ),10.5 ( 4 ),10.6 ( 7 )
,"5,000-6,000'",133,132,16.7,19.6,82.5,"803,025",767,11.6 ( 2 ),13.8 ( 2 ),8.4 ( 1 )
,"6,000-7,000'",129,131,21.8,26.1,89.9,"789,007",566,NA,NA,16.2 ( 3 )
,"7,000-8,000'",118,127,23.4,29.9,94.3,"232,812",146,NA,NA,NA
,"8,000-9,000'",109,128,23.1,31.9,91.8,"5,743",3,NA,NA,NA
13. Upper Cowlitz,"3,000-4,000'",94,57,1.2,0.8,3.7,"11,348",282,23.3 ( 1 ),27.6 ( 1 ),NA
,"4,000-5,000'",144,94,6.2,4.3,16.6,"68,826",300,33.2 ( 3 ),39.3 ( 3 ),NA
,"5,000-6,000'",169,129,20,17.3,51.3,"100,007",108,NA,NA,NA
,"6,000-7,000'",122,115,34.9,37.5,91.2,"37,881",19,NA,NA,NA
,"7,000-8,000'",105,100,44.9,45.6,83.1,"7,749",3,NA,NA,NA
,"8,000-9,000'",118,114,75.6,78.4,92.2,404,0,NA,NA,NA
,"9,000-10,000'",61,59,68.5,71.2,90.9,"1,834",0,NA,NA,NA
,"10,000-11,000'",14,15,17.3,18.5,84.6,95,0,NA,NA,NA
14. Upper Deschutes-Crooked,"4,000-5,000'",179,137,5.7,3.6,28.8,"728,808","3,836",18.4 ( 1 ),19.4 ( 1 ),3.0 ( 2 )
,"5,000-6,000'",132,121,10.8,10.9,59.8,"855,799","1,478",22.0 ( 5 ),23.8 ( 5 ),16.9 ( 4 )
,"6,000-7,000'",126,112,19.9,20.3,64.9,"269,885",250,NA,NA,45.3 ( 1 )
,"7,000-8,000'",123,118,31.8,32.8,81.5,"70,021",40,NA,NA,NA
,"8,000-9,000'",123,121,45.8,48,93.6,"6,180",2,NA,NA,NA
,"9,000-10,000'",109,121,41.7,41.2,81.3,"1,483",1,NA,NA,NA
15. Upper Yakima,"3,000-4,000'",136,118,8.4,8.4,55,"219,787",492,13.4 ( 1 ),16.4 ( 1 ),NA
,"4,000-5,000'",131,119,13.8,15.2,70.9,"290,678",358,22.0 ( 1 ),26.8 ( 1 ),NA
,"5,000-6,000'",136,128,20.8,23.1,85.9,"197,886",160,15.0 ( 1 ),16.7 ( 1 ),NA
,"6,000-7,000'",126,122,27.8,31.5,96.8,"35,850",21,NA,NA,NA
,"7,000-8,000'",98,99,41,47.2,98.4,"1,456",1,NA,NA,NA
16. Willamette,0,,,0,0,0,0,"4,944",0.0 ( 1 ),0.0 ( 1 ),NA
,"1,000-2,000'",54,5,0,0,0,47,"1,979",2.2 ( 1 ),0.0 ( 1 ),NA
,"2,000-3,000'",20,11,0,0,0.1,"1,600","1,618",1.4 ( 2 ),0.7 ( 2 ),NA
,"3,000-4,000'",36,27,0.6,0.5,2.7,"37,374","1,454",5.6 ( 6 ),4.1 ( 6 ),NA
,"4,000-5,000'",93,73,4.7,4.2,18.5,"200,133",884,20.2 ( 8 ),22.3 ( 8 ),NA
,"5,000-6,000'",125,104,14.2,14,49.3,"298,379",400,27.7 ( 1 ),32.2 ( 1 ),NA
,"6,000-7,000'",123,107,26.4,26.4,66,"93,944",67,NA,NA,NA
,"7,000-8,000'",110,112,42.9,46.7,84.7,"27,181",11,NA,NA,NA
,"8,000-9,000'",98,101,58.1,62.3,83.2,"8,023",2,NA,NA,NA
,"9,000-10,000'",104,104,56.4,49.9,79.6,"2,312",1,NA,NA,NA
