No.,Basin Code,Elevation Band,Area (mi2),SWE (in.),Vol (AF)
13,HGH,"5,000-6,000'",479.06,9.99,255140.0
13,HGH,"6,000-7,000'",529.73,18.18,513653.0
13,HGH,"7,000-8,000'",246.43,23.76,312323.0
13,HGH,"8,000-9,000'",11.1,27.59,16336.0
14,HRSI,"2,000-3,000'",6.37,0.0,0.0
14,HRSI,"3,000-4,000'",109.36,0.0,0.0
14,HRSI,"4,000-5,000'",313.8,0.0,0.0
14,HRSI,"5,000-6,000'",431.28,0.96,22117.0
14,HRSI,"6,000-7,000'",336.68,9.33,167526.0
14,HRSI,"7,000-8,000'",218.63,16.36,190721.0
14,HRSI,"8,000-9,000'",63.22,20.31,68482.0
14,HRSI,"9,000-10,000'",13.42,22.24,15917.0
14,HRSI,"10,000-11,000'",0.1,11.18,58.0
15,ISL,"6,000-7,000'",286.97,1.58,24256.0
15,ISL,"7,000-8,000'",139.87,7.16,53378.0
15,ISL,"8,000-9,000'",64.19,17.29,59191.0
15,ISL,"9,000-10,000'",8.59,19.12,8761.0
15,ISL,"10,000-11,000'",0.19,21.63,223.0
16,JCK,"6,000-7,000'",91.6,1.88,9183.0
16,JCK,"7,000-8,000'",270.85,7.77,112276.0
16,JCK,"8,000-9,000'",341.02,15.1,274592.0
16,JCK,"9,000-10,000'",89.29,22.42,106740.0
16,JCK,"10,000-11,000'",11.2,25.61,15296.0
16,JCK,"11,000-12,000'",0.48,24.98,643.0
17,KAC,"2,000-3,000'",19.4,0.0,0.0
17,KAC,"3,000-4,000'",20.17,2.33,2511.0
17,KAC,"4,000-5,000'",18.53,12.08,11940.0
17,KAC,"5,000-6,000'",5.02,23.01,6160.0
18,KEE,"2,000-3,000'",12.74,0.6,409.0
18,KEE,"3,000-4,000'",23.94,4.09,5227.0
18,KEE,"4,000-5,000'",14.29,15.27,11633.0
18,KEE,"5,000-6,000'",3.38,32.77,5904.0
18,KEE,"6,000-7,000'",0.1,34.28,176.0
19,LUC,"2,000-3,000'",0.77,0.0,0.0
19,LUC,"3,000-4,000'",136.39,0.0,0.0
19,LUC,"4,000-5,000'",491.8,0.0,0.0
19,LUC,"5,000-6,000'",485.62,0.07,1688.0
19,LUC,"6,000-7,000'",301.55,5.02,80719.0
19,LUC,"7,000-8,000'",194.69,14.43,149823.0
19,LUC,"8,000-9,000'",91.8,22.04,107906.0
19,LUC,"9,000-10,000'",8.49,25.69,11637.0
20,MAN,"2,000-3,000'",1.06,0.0,0.0
20,MAN,"3,000-4,000'",9.46,0.0,0.0
20,MAN,"4,000-5,000'",19.69,0.0,0.0
20,MAN,"5,000-6,000'",19.79,0.5,524.0
20,MAN,"6,000-7,000'",5.89,6.03,1894.0
20,MAN,"7,000-8,000'",0.29,12.09,187.0
21,MCK,"1,000-2,000'",26.64,0.0,0.0
21,MCK,"2,000-3,000'",48.84,0.0,0.0
21,MCK,"3,000-4,000'",84.27,0.0,0.0
21,MCK,"4,000-5,000'",34.46,0.0,0.0
22,NACW,"1,000-2,000'",6.56,0.0,0.0
22,NACW,"2,000-3,000'",78.19,0.0,0.0
22,NACW,"3,000-4,000'",217.09,0.03,395.0
22,NACW,"4,000-5,000'",218.24,1.18,13706.0
22,NACW,"5,000-6,000'",140.06,8.86,66174.0
22,NACW,"6,000-7,000'",25.0,18.53,24705.0
22,NACW,"7,000-8,000'",0.39,19.36,399.0
23,OCH,"3,000-4,000'",64.58,0.0,0.0
23,OCH,"4,000-5,000'",161.29,0.0,0.0
23,OCH,"5,000-6,000'",61.68,0.0,0.0
23,OCH,"6,000-7,000'",3.28,1.44,252.0
24,OWY,">5,000'",752.9,0.0,0.0
24,OWY,">6,000'",1099.43,0.0,52.0
24,OWY,">7,000'",220.37,0.47,5543.0
24,OWY,">8,000'",26.64,3.89,5531.0
24,OWY,">9,000'",3.86,10.68,2198.0
24,OWY,">10,000'",0.19,13.87,143.0
25,OWY,"<2,000'",85.52,0.0,0.0
25,OWY,"<3,000'",911.3,0.0,0.0
25,OWY,"<4,000'",3227.81,0.0,0.0
25,OWY,"<5,000'",4369.42,0.0,0.0
26,PARW,"0-1,000'",12.55,0.0,0.0
26,PARW,"1,000-2,000'",587.16,0.0,0.0
26,PARW,"2,000-3,000'",861.49,0.01,264.0
26,PARW,"3,000-4,000'",468.05,0.16,3885.0
26,PARW,"4,000-5,000'",308.69,2.17,35795.0
26,PARW,"5,000-6,000'",142.76,9.17,69847.0
26,PARW,"6,000-7,000'",21.04,15.29,17160.0
27,PRV,"3,000-4,000'",347.97,0.0,0.0
27,PRV,"4,000-5,000'",1753.39,0.0,0.0
27,PRV,"5,000-6,000'",540.93,0.0,0.0
27,PRV,"6,000-7,000'",22.2,1.85,2187.0
28,PWDO,"3,000-4,000'",49.13,0.0,0.0
28,PWDO,"4,000-5,000'",163.13,0.0,0.0
28,PWDO,"5,000-6,000'",90.64,0.01,29.0
28,PWDO,"6,000-7,000'",31.76,3.59,6086.0
28,PWDO,"7,000-8,000'",12.55,17.46,11685.0
28,PWDO,"8,000-9,000'",0.77,21.62,890.0
29,RIM,"2,000-3,000'",4.25,0.0,0.0
29,RIM,"3,000-4,000'",39.67,0.1,202.0
29,RIM,"4,000-5,000'",61.97,0.91,2994.0
29,RIM,"5,000-6,000'",61.78,5.92,19491.0
29,RIM,"6,000-7,000'",17.86,21.86,20821.0
29,RIM,"7,000-8,000'",0.48,52.12,1341.0
30,RIR,"5,000-6,000'",107.82,0.0,0.0
30,RIR,"6,000-7,000'",484.56,0.0,102.0
30,RIR,"7,000-8,000'",44.5,1.78,4226.0
30,RIR,"8,000-9,000'",1.35,16.31,1176.0
30,RIR,"9,000-10,000'",0.19,18.06,186.0
31,TEAI,"4,000-5,000'",0.19,0.0,0.0
31,TEAI,"5,000-6,000'",133.49,0.0,0.0
31,TEAI,"6,000-7,000'",398.26,0.03,560.0
31,TEAI,"7,000-8,000'",182.53,4.27,41579.0
31,TEAI,"8,000-9,000'",95.27,17.68,89842.0
31,TEAI,"9,000-10,000'",58.4,26.26,81778.0
31,TEAI,"10,000-11,000'",6.47,27.25,9399.0
32,UNY,"3,000-4,000'",16.89,0.0,0.0
32,UNY,"4,000-5,000'",160.04,0.0,0.0
32,UNY,"5,000-6,000'",104.44,0.07,403.0
32,UNY,"6,000-7,000'",26.93,4.55,6536.0
32,UNY,"7,000-8,000'",1.93,11.45,1179.0
33,VALO,"2,000-3,000'",495.95,0.0,0.0
33,VALO,"3,000-4,000'",756.08,0.0,0.0
33,VALO,"4,000-5,000'",1071.43,0.0,0.0
33,VALO,"5,000-6,000'",234.65,0.0,0.0
33,VALO,"6,000-7,000'",7.82,0.18,75.0
33,VALO,"7,000-8,000'",1.54,2.14,176.0
34,WAR,"3,000-4,000'",248.26,0.0,0.0
34,WAR,"4,000-5,000'",406.66,0.0,0.0
34,WAR,"5,000-6,000'",366.8,0.0,57.0
34,WAR,"6,000-7,000'",41.99,2.75,6150.0
34,WAR,"7,000-8,000'",10.91,15.41,8966.0
34,WAR,"8,000-9,000'",0.39,19.08,393.0
35,WLD,"6,000-7,000'",162.55,0.0,0.0
35,WLD,"7,000-8,000'",39.29,0.03,60.0
35,WLD,"8,000-9,000'",1.45,0.68,52.0
36,WOD,"5,000-6,000'",61.29,0.0,0.0
36,WOD,"6,000-7,000'",94.6,0.12,622.0
36,WOD,"7,000-8,000'",64.09,3.7,12653.0
36,WOD,"8,000-9,000'",33.4,8.96,15956.0
36,WOD,"9,000-10,000'",16.99,15.48,14030.0
36,WOD,"10,000-11,000'",3.19,19.29,3277.0
36,WOD,"11,000-12,000'",0.29,19.83,306.0
