No.,Basin Code,Elevation Band,Area (mi2),SWE (in.),Vol (AF)
09,CSC,"4,000-5,000'",147.49,0.0,0.0
09,CSC,"5,000-6,000'",191.7,1.07,10944.0
09,CSC,"6,000-7,000'",159.36,9.64,81948.0
09,CSC,"7,000-8,000'",109.46,22.04,128654.0
09,CSC,"8,000-9,000'",6.18,27.32,9002.0
10,DED,"5,000-6,000'",29.83,3.12,4960.0
10,DED,"6,000-7,000'",40.06,11.89,25412.0
10,DED,"7,000-8,000'",37.64,21.84,43852.0
10,DED,"8,000-9,000'",1.64,28.01,2451.0
11,GRS,"7,000-8,000'",3.76,7.6,1526.0
11,GRS,"8,000-9,000'",0.1,12.46,64.0
12,HEII,"5,000-6,000'",283.5,0.0,0.0
12,HEII,"6,000-7,000'",1222.79,0.1,6788.0
12,HEII,"7,000-8,000'",1429.35,3.18,242313.0
12,HEII,"8,000-9,000'",1112.55,10.63,630932.0
12,HEII,"9,000-10,000'",678.57,16.82,608883.0
12,HEII,"10,000-11,000'",184.94,20.97,206813.0
12,HEII,"11,000-12,000'",6.27,21.18,7088.0
12,HEII,"12,000-13,000'",0.29,19.29,298.0
13,HGH,"3,000-4,000'",103.76,0.04,233.0
13,HGH,"4,000-5,000'",290.73,1.32,20511.0
13,HGH,"5,000-6,000'",479.06,8.23,210263.0
13,HGH,"6,000-7,000'",529.73,16.96,479087.0
13,HGH,"7,000-8,000'",246.43,22.36,293828.0
13,HGH,"8,000-9,000'",11.1,25.76,15251.0
14,HRSI,"2,000-3,000'",6.37,0.0,0.0
14,HRSI,"3,000-4,000'",109.36,0.0,0.0
14,HRSI,"4,000-5,000'",313.8,0.0,0.0
14,HRSI,"5,000-6,000'",431.28,0.31,7239.0
14,HRSI,"6,000-7,000'",336.68,6.21,111546.0
14,HRSI,"7,000-8,000'",218.63,16.02,186836.0
14,HRSI,"8,000-9,000'",63.22,25.03,84395.0
14,HRSI,"9,000-10,000'",13.42,29.0,20748.0
14,HRSI,"10,000-11,000'",0.1,30.06,155.0
15,ISL,"6,000-7,000'",286.97,0.03,467.0
15,ISL,"7,000-8,000'",139.87,5.31,39579.0
15,ISL,"8,000-9,000'",64.19,15.59,53376.0
15,ISL,"9,000-10,000'",8.59,17.65,8087.0
15,ISL,"10,000-11,000'",0.19,19.93,205.0
16,JCK,"6,000-7,000'",91.6,0.5,2439.0
16,JCK,"7,000-8,000'",270.85,6.66,96177.0
16,JCK,"8,000-9,000'",341.02,13.45,244665.0
16,JCK,"9,000-10,000'",89.29,20.02,95337.0
16,JCK,"10,000-11,000'",11.2,22.62,13505.0
16,JCK,"11,000-12,000'",0.48,22.39,576.0
17,KAC,"2,000-3,000'",19.4,0.0,0.0
17,KAC,"3,000-4,000'",20.17,1.5,1616.0
17,KAC,"4,000-5,000'",18.53,9.8,9688.0
17,KAC,"5,000-6,000'",5.02,19.24,5150.0
18,KEE,"2,000-3,000'",12.74,0.42,289.0
18,KEE,"3,000-4,000'",23.94,3.46,4417.0
18,KEE,"4,000-5,000'",14.29,12.76,9726.0
18,KEE,"5,000-6,000'",3.38,27.86,5019.0
18,KEE,"6,000-7,000'",0.1,27.41,141.0
19,LUC,"2,000-3,000'",0.77,0.0,0.0
19,LUC,"3,000-4,000'",136.39,0.0,0.0
19,LUC,"4,000-5,000'",491.8,0.0,0.0
19,LUC,"5,000-6,000'",485.62,0.03,692.0
19,LUC,"6,000-7,000'",301.55,3.11,50081.0
19,LUC,"7,000-8,000'",194.69,12.43,129031.0
19,LUC,"8,000-9,000'",91.8,25.1,122905.0
19,LUC,"9,000-10,000'",8.49,31.26,14160.0
20,MAN,"2,000-3,000'",1.06,0.0,0.0
20,MAN,"3,000-4,000'",9.46,0.0,0.0
20,MAN,"4,000-5,000'",19.69,0.0,0.0
20,MAN,"5,000-6,000'",19.79,0.03,35.0
20,MAN,"6,000-7,000'",5.89,1.76,553.0
20,MAN,"7,000-8,000'",0.29,10.08,156.0
21,MCK,"1,000-2,000'",26.64,0.0,0.0
21,MCK,"2,000-3,000'",48.84,0.0,0.0
21,MCK,"3,000-4,000'",84.27,0.0,0.0
21,MCK,"4,000-5,000'",34.46,0.0,0.0
22,NACW,"1,000-2,000'",6.56,0.0,0.0
22,NACW,"2,000-3,000'",78.19,0.0,0.0
22,NACW,"3,000-4,000'",217.09,0.0,0.0
22,NACW,"4,000-5,000'",218.24,0.59,6848.0
22,NACW,"5,000-6,000'",140.06,6.26,46730.0
22,NACW,"6,000-7,000'",25.0,15.91,21220.0
22,NACW,"7,000-8,000'",0.39,19.78,407.0
23,OCH,"3,000-4,000'",64.58,0.0,0.0
23,OCH,"4,000-5,000'",161.29,0.0,0.0
23,OCH,"5,000-6,000'",61.68,0.0,0.0
23,OCH,"6,000-7,000'",3.28,0.46,81.0
24,OWY,">5,000'",752.9,0.0,0.0
24,OWY,">6,000'",1099.43,0.0,52.0
24,OWY,">7,000'",220.37,0.29,3463.0
24,OWY,">8,000'",26.64,2.9,4122.0
24,OWY,">9,000'",3.86,9.68,1993.0
24,OWY,">10,000'",0.19,14.96,154.0
25,OWY,"<2,000'",85.52,0.0,0.0
25,OWY,"<3,000'",911.3,0.0,0.0
25,OWY,"<4,000'",3227.81,0.0,0.0
25,OWY,"<5,000'",4369.42,0.0,0.0
26,PARW,"0-1,000'",12.55,0.0,0.0
26,PARW,"1,000-2,000'",587.16,0.0,0.0
26,PARW,"2,000-3,000'",861.49,0.0,0.0
26,PARW,"3,000-4,000'",468.05,0.02,587.0
26,PARW,"4,000-5,000'",308.69,0.85,14007.0
26,PARW,"5,000-6,000'",142.76,6.44,49031.0
26,PARW,"6,000-7,000'",21.04,13.84,15528.0
27,PRV,"3,000-4,000'",347.97,0.0,0.0
27,PRV,"4,000-5,000'",1753.39,0.0,0.0
27,PRV,"5,000-6,000'",540.93,0.0,0.0
27,PRV,"6,000-7,000'",22.2,0.36,429.0
28,PWDO,"3,000-4,000'",49.13,0.0,0.0
28,PWDO,"4,000-5,000'",163.13,0.0,0.0
28,PWDO,"5,000-6,000'",90.64,0.0,0.0
28,PWDO,"6,000-7,000'",31.76,1.98,3349.0
28,PWDO,"7,000-8,000'",12.55,13.21,8841.0
28,PWDO,"8,000-9,000'",0.77,20.98,864.0
29,RIM,"2,000-3,000'",4.25,0.0,0.0
29,RIM,"3,000-4,000'",39.67,0.02,40.0
29,RIM,"4,000-5,000'",61.97,0.41,1344.0
29,RIM,"5,000-6,000'",61.78,3.88,12780.0
29,RIM,"6,000-7,000'",17.86,17.91,17053.0
29,RIM,"7,000-8,000'",0.48,27.22,701.0
30,RIR,"5,000-6,000'",107.82,0.0,0.0
30,RIR,"6,000-7,000'",484.56,0.0,0.0
30,RIR,"7,000-8,000'",44.5,1.02,2425.0
30,RIR,"8,000-9,000'",1.35,14.48,1043.0
30,RIR,"9,000-10,000'",0.19,16.1,166.0
31,TEAI,"4,000-5,000'",0.19,0.0,0.0
31,TEAI,"5,000-6,000'",133.49,0.0,0.0
31,TEAI,"6,000-7,000'",398.26,0.01,117.0
31,TEAI,"7,000-8,000'",182.53,3.14,30566.0
31,TEAI,"8,000-9,000'",95.27,15.39,78184.0
31,TEAI,"9,000-10,000'",58.4,23.06,71814.0
31,TEAI,"10,000-11,000'",6.47,23.95,8262.0
32,UNY,"3,000-4,000'",16.89,0.0,0.0
32,UNY,"4,000-5,000'",160.04,0.0,0.0
32,UNY,"5,000-6,000'",104.44,0.04,222.0
32,UNY,"6,000-7,000'",26.93,3.66,5261.0
32,UNY,"7,000-8,000'",1.93,10.49,1080.0
33,VALO,"2,000-3,000'",495.95,0.0,0.0
33,VALO,"3,000-4,000'",756.08,0.0,0.0
33,VALO,"4,000-5,000'",1071.43,0.0,0.0
33,VALO,"5,000-6,000'",234.65,0.0,0.0
33,VALO,"6,000-7,000'",7.82,0.16,65.0
33,VALO,"7,000-8,000'",1.54,1.8,148.0
34,WAR,"3,000-4,000'",248.26,0.0,0.0
34,WAR,"4,000-5,000'",406.66,0.0,0.0
34,WAR,"5,000-6,000'",366.8,0.0,57.0
34,WAR,"6,000-7,000'",41.99,1.91,4269.0
34,WAR,"7,000-8,000'",10.91,12.87,7488.0
34,WAR,"8,000-9,000'",0.39,19.33,398.0
35,WLD,"6,000-7,000'",162.55,0.0,0.0
35,WLD,"7,000-8,000'",39.29,0.01,16.0
35,WLD,"8,000-9,000'",1.45,0.53,41.0
36,WOD,"5,000-6,000'",61.29,0.0,0.0
36,WOD,"6,000-7,000'",94.6,0.08,413.0
36,WOD,"7,000-8,000'",64.09,3.22,11005.0
36,WOD,"8,000-9,000'",33.4,8.69,15477.0
36,WOD,"9,000-10,000'",16.99,16.7,15134.0
36,WOD,"10,000-11,000'",3.19,20.59,3498.0
36,WOD,"11,000-12,000'",0.29,24.9,385.0
