No.,Basin Code,Elevation Band,Area (mi2),SWE (in.),Vol (AF)
14,HRSI,"7,000-8,000'",218.63,15.12,176292.0
14,HRSI,"8,000-9,000'",63.22,18.58,62651.0
14,HRSI,"9,000-10,000'",13.42,20.33,14544.0
14,HRSI,"10,000-11,000'",0.1,10.75,55.0
15,ISL,"6,000-7,000'",286.97,2.1,32147.0
15,ISL,"7,000-8,000'",139.87,6.7,49946.0
15,ISL,"8,000-9,000'",64.19,15.97,54675.0
15,ISL,"9,000-10,000'",8.59,17.55,8043.0
15,ISL,"10,000-11,000'",0.19,19.91,205.0
16,JCK,"6,000-7,000'",91.6,1.88,9172.0
16,JCK,"7,000-8,000'",270.85,7.26,104849.0
16,JCK,"8,000-9,000'",341.02,13.83,251541.0
16,JCK,"9,000-10,000'",89.29,20.42,97221.0
16,JCK,"10,000-11,000'",11.2,22.78,13604.0
16,JCK,"11,000-12,000'",0.48,22.68,584.0
17,KAC,"2,000-3,000'",19.4,0.0,0.0
17,KAC,"3,000-4,000'",20.17,2.41,2596.0
17,KAC,"4,000-5,000'",18.53,12.11,11973.0
17,KAC,"5,000-6,000'",5.02,22.69,6074.0
18,KEE,"2,000-3,000'",12.74,0.63,426.0
18,KEE,"3,000-4,000'",23.94,4.15,5298.0
18,KEE,"4,000-5,000'",14.29,15.64,11918.0
18,KEE,"5,000-6,000'",3.38,32.03,5770.0
18,KEE,"6,000-7,000'",0.1,30.32,156.0
19,LUC,"2,000-3,000'",0.77,0.0,0.0
19,LUC,"3,000-4,000'",136.39,0.0,0.0
19,LUC,"4,000-5,000'",491.8,0.0,0.0
19,LUC,"5,000-6,000'",485.62,0.06,1635.0
19,LUC,"6,000-7,000'",301.55,4.75,76423.0
19,LUC,"7,000-8,000'",194.69,13.45,139692.0
19,LUC,"8,000-9,000'",91.8,20.12,98501.0
19,LUC,"9,000-10,000'",8.49,23.28,10545.0
20,MAN,"2,000-3,000'",1.06,0.0,0.0
20,MAN,"3,000-4,000'",9.46,0.0,0.0
20,MAN,"4,000-5,000'",19.69,0.0,0.0
20,MAN,"5,000-6,000'",19.79,0.76,800.0
20,MAN,"6,000-7,000'",5.89,6.92,2172.0
20,MAN,"7,000-8,000'",0.29,11.57,179.0
21,MCK,"1,000-2,000'",26.64,0.0,0.0
21,MCK,"2,000-3,000'",48.84,0.0,0.0
21,MCK,"3,000-4,000'",84.27,0.0,0.0
21,MCK,"4,000-5,000'",34.46,0.0,0.0
22,NACW,"1,000-2,000'",6.56,0.0,0.0
22,NACW,"2,000-3,000'",78.19,0.0,0.0
22,NACW,"3,000-4,000'",217.09,0.05,529.0
22,NACW,"4,000-5,000'",218.24,1.22,14150.0
22,NACW,"5,000-6,000'",140.06,8.18,61130.0
22,NACW,"6,000-7,000'",25.0,17.34,23124.0
22,NACW,"7,000-8,000'",0.39,21.71,447.0
23,OCH,"3,000-4,000'",64.58,0.0,0.0
23,OCH,"4,000-5,000'",161.29,0.0,0.0
23,OCH,"5,000-6,000'",61.68,0.0,0.0
23,OCH,"6,000-7,000'",3.28,1.72,300.0
24,OWY,">5,000'",752.9,0.0,0.0
24,OWY,">6,000'",1099.43,0.0,0.0
24,OWY,">7,000'",220.37,0.23,2649.0
24,OWY,">8,000'",26.64,2.69,3820.0
24,OWY,">9,000'",3.86,10.01,2061.0
24,OWY,">10,000'",0.19,12.74,131.0
25,OWY,"<2,000'",85.52,0.0,0.0
25,OWY,"<3,000'",911.3,0.0,0.0
25,OWY,"<4,000'",3227.81,0.0,0.0
25,OWY,"<5,000'",4369.42,0.0,0.0
26,PARW,"0-1,000'",12.55,0.0,0.0
26,PARW,"1,000-2,000'",587.16,0.0,0.0
26,PARW,"2,000-3,000'",861.49,0.01,510.0
26,PARW,"3,000-4,000'",468.05,0.18,4397.0
26,PARW,"4,000-5,000'",308.69,2.4,39449.0
26,PARW,"5,000-6,000'",142.76,9.25,70406.0
26,PARW,"6,000-7,000'",21.04,14.71,16510.0
27,PRV,"3,000-4,000'",347.97,0.0,0.0
27,PRV,"4,000-5,000'",1753.39,0.0,0.0
27,PRV,"5,000-6,000'",540.93,0.0,134.0
27,PRV,"6,000-7,000'",22.2,1.89,2232.0
28,PWDO,"3,000-4,000'",49.13,0.0,0.0
28,PWDO,"4,000-5,000'",163.13,0.0,0.0
28,PWDO,"5,000-6,000'",90.64,0.01,29.0
28,PWDO,"6,000-7,000'",31.76,3.31,5612.0
28,PWDO,"7,000-8,000'",12.55,15.92,10655.0
28,PWDO,"8,000-9,000'",0.77,19.48,802.0
29,RIM,"2,000-3,000'",4.25,0.0,0.0
29,RIM,"3,000-4,000'",39.67,0.14,294.0
29,RIM,"4,000-5,000'",61.97,0.96,3161.0
29,RIM,"5,000-6,000'",61.78,5.43,17902.0
29,RIM,"6,000-7,000'",17.86,19.96,19008.0
29,RIM,"7,000-8,000'",0.48,30.8,793.0
30,RIR,"5,000-6,000'",107.82,0.0,0.0
30,RIR,"6,000-7,000'",484.56,0.0,99.0
30,RIR,"7,000-8,000'",44.5,1.68,3987.0
30,RIR,"8,000-9,000'",1.35,15.32,1104.0
30,RIR,"9,000-10,000'",0.19,16.78,173.0
31,TEAI,"4,000-5,000'",0.19,0.0,0.0
31,TEAI,"5,000-6,000'",133.49,0.0,0.0
31,TEAI,"6,000-7,000'",398.26,0.03,599.0
31,TEAI,"7,000-8,000'",182.53,4.01,38993.0
31,TEAI,"8,000-9,000'",95.27,16.22,82437.0
31,TEAI,"9,000-10,000'",58.4,23.97,74662.0
31,TEAI,"10,000-11,000'",6.47,24.82,8562.0
32,UNY,"3,000-4,000'",16.89,0.0,0.0
32,UNY,"4,000-5,000'",160.04,0.0,0.0
32,UNY,"5,000-6,000'",104.44,0.07,402.0
32,UNY,"6,000-7,000'",26.93,4.34,6239.0
32,UNY,"7,000-8,000'",1.93,10.59,1090.0
33,VALO,"2,000-3,000'",495.95,0.0,0.0
33,VALO,"3,000-4,000'",756.08,0.0,0.0
33,VALO,"4,000-5,000'",1071.43,0.0,0.0
33,VALO,"5,000-6,000'",234.65,0.0,0.0
33,VALO,"6,000-7,000'",7.82,0.17,71.0
33,VALO,"7,000-8,000'",1.54,2.0,165.0
34,WAR,"3,000-4,000'",248.26,0.0,0.0
34,WAR,"4,000-5,000'",406.66,0.0,0.0
34,WAR,"5,000-6,000'",366.8,0.0,54.0
34,WAR,"6,000-7,000'",41.99,2.53,5666.0
34,WAR,"7,000-8,000'",10.91,14.01,8148.0
34,WAR,"8,000-9,000'",0.39,17.2,354.0
35,WLD,"6,000-7,000'",162.55,0.0,0.0
35,WLD,"7,000-8,000'",39.29,0.0,0.0
35,WLD,"8,000-9,000'",1.45,0.0,0.0
36,WOD,"5,000-6,000'",61.29,0.0,0.0
36,WOD,"6,000-7,000'",94.6,0.13,649.0
36,WOD,"7,000-8,000'",64.09,3.75,12813.0
36,WOD,"8,000-9,000'",33.4,8.57,15274.0
36,WOD,"9,000-10,000'",16.99,14.27,12927.0
36,WOD,"10,000-11,000'",3.19,17.55,2982.0
36,WOD,"11,000-12,000'",0.29,17.94,277.0
