No.,Basin Code,Elevation Band,Area (mi2),SWE (in.),Vol (AF)
14,HRSI,"7,000-8,000'",218.63,16.87,196721.0
14,HRSI,"8,000-9,000'",63.22,25.78,86929.0
14,HRSI,"9,000-10,000'",13.42,29.84,21352.0
14,HRSI,"10,000-11,000'",0.1,31.16,160.0
15,ISL,"6,000-7,000'",286.97,0.07,1075.0
15,ISL,"7,000-8,000'",139.87,5.63,42016.0
15,ISL,"8,000-9,000'",64.19,17.45,59730.0
15,ISL,"9,000-10,000'",8.59,19.56,8961.0
15,ISL,"10,000-11,000'",0.19,21.82,225.0
16,JCK,"6,000-7,000'",91.6,0.34,1668.0
16,JCK,"7,000-8,000'",270.85,7.02,101393.0
16,JCK,"8,000-9,000'",341.02,15.49,281727.0
16,JCK,"9,000-10,000'",89.29,23.26,110771.0
16,JCK,"10,000-11,000'",11.2,25.51,15236.0
16,JCK,"11,000-12,000'",0.48,24.91,641.0
17,KAC,"2,000-3,000'",19.4,0.0,0.0
17,KAC,"3,000-4,000'",20.17,1.7,1826.0
17,KAC,"4,000-5,000'",18.53,10.58,10460.0
17,KAC,"5,000-6,000'",5.02,20.1,5381.0
18,KEE,"2,000-3,000'",12.74,0.48,326.0
18,KEE,"3,000-4,000'",23.94,3.86,4933.0
18,KEE,"4,000-5,000'",14.29,14.09,10737.0
18,KEE,"5,000-6,000'",3.38,29.34,5287.0
18,KEE,"6,000-7,000'",0.1,26.29,135.0
19,LUC,"2,000-3,000'",0.77,0.0,0.0
19,LUC,"3,000-4,000'",136.39,0.0,0.0
19,LUC,"4,000-5,000'",491.8,0.0,0.0
19,LUC,"5,000-6,000'",485.62,0.03,797.0
19,LUC,"6,000-7,000'",301.55,3.54,56908.0
19,LUC,"7,000-8,000'",194.69,13.27,137760.0
19,LUC,"8,000-9,000'",91.8,25.97,127122.0
19,LUC,"9,000-10,000'",8.49,32.17,14575.0
20,MAN,"2,000-3,000'",1.06,0.0,0.0
20,MAN,"3,000-4,000'",9.46,0.0,0.0
20,MAN,"4,000-5,000'",19.69,0.0,0.0
20,MAN,"5,000-6,000'",19.79,0.04,39.0
20,MAN,"6,000-7,000'",5.89,1.92,602.0
20,MAN,"7,000-8,000'",0.29,10.83,167.0
21,MCK,"1,000-2,000'",26.64,0.0,0.0
21,MCK,"2,000-3,000'",48.84,0.0,0.0
21,MCK,"3,000-4,000'",84.27,0.0,0.0
21,MCK,"4,000-5,000'",34.46,0.0,0.0
22,NACW,"1,000-2,000'",6.56,0.0,0.0
22,NACW,"2,000-3,000'",78.19,0.0,0.0
22,NACW,"3,000-4,000'",217.09,0.0,0.0
22,NACW,"4,000-5,000'",218.24,0.58,6730.0
22,NACW,"5,000-6,000'",140.06,6.14,45890.0
22,NACW,"6,000-7,000'",25.0,15.56,20748.0
22,NACW,"7,000-8,000'",0.39,17.28,356.0
23,OCH,"3,000-4,000'",64.58,0.0,0.0
23,OCH,"4,000-5,000'",161.29,0.0,0.0
23,OCH,"5,000-6,000'",61.68,0.0,0.0
23,OCH,"6,000-7,000'",3.28,0.49,85.0
24,OWY,">5,000'",752.9,0.0,0.0
24,OWY,">6,000'",1099.43,0.02,1215.0
24,OWY,">7,000'",220.37,0.46,5405.0
24,OWY,">8,000'",26.64,3.15,4470.0
24,OWY,">9,000'",3.86,10.23,2106.0
24,OWY,">10,000'",0.19,15.55,160.0
25,OWY,"<2,000'",85.52,0.0,0.0
25,OWY,"<3,000'",911.3,0.0,0.0
25,OWY,"<4,000'",3227.81,0.0,0.0
25,OWY,"<5,000'",4369.42,0.0,0.0
26,PARW,"0-1,000'",12.55,0.0,0.0
26,PARW,"1,000-2,000'",587.16,0.0,0.0
26,PARW,"2,000-3,000'",861.49,0.0,0.0
26,PARW,"3,000-4,000'",468.05,0.02,612.0
26,PARW,"4,000-5,000'",308.69,0.76,12438.0
26,PARW,"5,000-6,000'",142.76,5.94,45248.0
26,PARW,"6,000-7,000'",21.04,13.74,15425.0
27,PRV,"3,000-4,000'",347.97,0.0,0.0
27,PRV,"4,000-5,000'",1753.39,0.0,0.0
27,PRV,"5,000-6,000'",540.93,0.0,0.0
27,PRV,"6,000-7,000'",22.2,0.41,486.0
28,PWDO,"3,000-4,000'",49.13,0.0,0.0
28,PWDO,"4,000-5,000'",163.13,0.0,0.0
28,PWDO,"5,000-6,000'",90.64,0.0,0.0
28,PWDO,"6,000-7,000'",31.76,2.12,3583.0
28,PWDO,"7,000-8,000'",12.55,14.15,9468.0
28,PWDO,"8,000-9,000'",0.77,22.06,909.0
29,RIM,"2,000-3,000'",4.25,0.0,0.0
29,RIM,"3,000-4,000'",39.67,0.02,37.0
29,RIM,"4,000-5,000'",61.97,0.46,1511.0
29,RIM,"5,000-6,000'",61.78,4.21,13880.0
29,RIM,"6,000-7,000'",17.86,19.2,18283.0
29,RIM,"7,000-8,000'",0.48,29.06,748.0
30,RIR,"5,000-6,000'",107.82,0.0,0.0
30,RIR,"6,000-7,000'",484.56,0.0,0.0
30,RIR,"7,000-8,000'",44.5,0.74,1763.0
30,RIR,"8,000-9,000'",1.35,14.82,1068.0
30,RIR,"9,000-10,000'",0.19,16.07,165.0
31,TEAI,"4,000-5,000'",0.19,0.0,0.0
31,TEAI,"5,000-6,000'",133.49,0.0,0.0
31,TEAI,"6,000-7,000'",398.26,0.01,111.0
31,TEAI,"7,000-8,000'",182.53,3.28,31978.0
31,TEAI,"8,000-9,000'",95.27,17.17,87259.0
31,TEAI,"9,000-10,000'",58.4,26.3,81924.0
31,TEAI,"10,000-11,000'",6.47,26.75,9227.0
32,UNY,"3,000-4,000'",16.89,0.0,0.0
32,UNY,"4,000-5,000'",160.04,0.0,0.0
32,UNY,"5,000-6,000'",104.44,0.05,255.0
32,UNY,"6,000-7,000'",26.93,3.83,5506.0
32,UNY,"7,000-8,000'",1.93,11.14,1147.0
33,VALO,"2,000-3,000'",495.95,0.0,0.0
33,VALO,"3,000-4,000'",756.08,0.0,0.0
33,VALO,"4,000-5,000'",1071.43,0.0,0.0
33,VALO,"5,000-6,000'",234.65,0.0,31.0
33,VALO,"6,000-7,000'",7.82,0.28,116.0
33,VALO,"7,000-8,000'",1.54,1.97,162.0
34,WAR,"3,000-4,000'",248.26,0.0,0.0
34,WAR,"4,000-5,000'",406.66,0.0,0.0
34,WAR,"5,000-6,000'",366.8,0.0,60.0
34,WAR,"6,000-7,000'",41.99,2.08,4647.0
34,WAR,"7,000-8,000'",10.91,13.55,7884.0
34,WAR,"8,000-9,000'",0.39,20.11,414.0
35,WLD,"6,000-7,000'",162.55,0.0,0.0
35,WLD,"7,000-8,000'",39.29,0.01,17.0
35,WLD,"8,000-9,000'",1.45,0.56,44.0
36,WOD,"5,000-6,000'",61.29,0.0,0.0
36,WOD,"6,000-7,000'",94.6,0.09,435.0
36,WOD,"7,000-8,000'",64.09,3.63,12399.0
36,WOD,"8,000-9,000'",33.4,9.59,17085.0
36,WOD,"9,000-10,000'",16.99,17.63,15975.0
36,WOD,"10,000-11,000'",3.19,21.45,3644.0
36,WOD,"11,000-12,000'",0.29,25.86,399.0
