No.,Basin Code,Elevation Band,Area (mi2),SWE (in.),Vol (AF)
14,HRSI,"9,000-10,000'",13.42,19.93,14265.0
14,HRSI,"10,000-11,000'",0.1,20.66,106.0
15,ISL,"6,000-7,000'",286.97,0.22,3413.0
15,ISL,"7,000-8,000'",139.87,5.82,43442.0
15,ISL,"8,000-9,000'",64.19,16.11,55159.0
15,ISL,"9,000-10,000'",8.59,18.05,8269.0
15,ISL,"10,000-11,000'",0.19,20.45,211.0
16,JCK,"6,000-7,000'",91.6,0.14,669.0
16,JCK,"7,000-8,000'",270.85,6.18,89240.0
16,JCK,"8,000-9,000'",341.02,14.19,258051.0
16,JCK,"9,000-10,000'",89.29,21.3,101419.0
16,JCK,"10,000-11,000'",11.2,23.66,14131.0
16,JCK,"11,000-12,000'",0.48,23.25,599.0
17,KAC,"2,000-3,000'",19.4,0.0,0.0
17,KAC,"3,000-4,000'",20.17,1.1,1183.0
17,KAC,"4,000-5,000'",18.53,8.85,8749.0
17,KAC,"5,000-6,000'",5.02,18.25,4884.0
18,KEE,"2,000-3,000'",12.74,0.0,0.0
18,KEE,"3,000-4,000'",23.94,2.09,2674.0
18,KEE,"4,000-5,000'",14.29,12.23,9318.0
18,KEE,"5,000-6,000'",3.38,27.71,4992.0
18,KEE,"6,000-7,000'",0.1,25.79,133.0
19,LUC,"2,000-3,000'",0.77,0.0,0.0
19,LUC,"3,000-4,000'",136.39,0.0,0.0
19,LUC,"4,000-5,000'",491.8,0.0,0.0
19,LUC,"5,000-6,000'",485.62,0.04,987.0
19,LUC,"6,000-7,000'",301.55,4.03,64813.0
19,LUC,"7,000-8,000'",194.69,12.22,126865.0
19,LUC,"8,000-9,000'",91.8,18.9,92547.0
19,LUC,"9,000-10,000'",8.49,21.58,9776.0
20,MAN,"2,000-3,000'",1.06,0.0,0.0
20,MAN,"3,000-4,000'",9.46,0.0,0.0
20,MAN,"4,000-5,000'",19.69,0.0,0.0
20,MAN,"5,000-6,000'",19.79,0.09,96.0
20,MAN,"6,000-7,000'",5.89,3.25,1022.0
20,MAN,"7,000-8,000'",0.29,12.48,193.0
21,MCK,"1,000-2,000'",26.64,0.0,0.0
21,MCK,"2,000-3,000'",48.84,0.0,0.0
21,MCK,"3,000-4,000'",84.27,0.0,0.0
21,MCK,"4,000-5,000'",34.46,0.0,0.0
22,NACW,"1,000-2,000'",6.56,0.0,0.0
22,NACW,"2,000-3,000'",78.19,0.0,0.0
22,NACW,"3,000-4,000'",217.09,0.0,0.0
22,NACW,"4,000-5,000'",218.24,0.28,3300.0
22,NACW,"5,000-6,000'",140.06,4.94,36884.0
22,NACW,"6,000-7,000'",25.0,14.37,19156.0
22,NACW,"7,000-8,000'",0.39,19.98,411.0
23,OCH,"3,000-4,000'",64.58,0.0,0.0
23,OCH,"4,000-5,000'",161.29,0.0,0.0
23,OCH,"5,000-6,000'",61.68,0.0,0.0
23,OCH,"6,000-7,000'",3.28,0.68,119.0
24,OWY,">5,000'",752.9,0.0,0.0
24,OWY,">6,000'",1099.43,0.05,3207.0
24,OWY,">7,000'",220.37,0.7,8170.0
24,OWY,">8,000'",26.64,3.97,5640.0
24,OWY,">9,000'",3.86,10.79,2222.0
24,OWY,">10,000'",0.19,13.15,135.0
25,OWY,"<2,000'",85.52,0.0,0.0
25,OWY,"<3,000'",911.3,0.0,0.0
25,OWY,"<4,000'",3227.81,0.0,0.0
25,OWY,"<5,000'",4369.42,0.0,0.0
26,PARW,"0-1,000'",12.55,0.0,0.0
26,PARW,"1,000-2,000'",587.16,0.0,0.0
26,PARW,"2,000-3,000'",861.49,0.0,0.0
26,PARW,"3,000-4,000'",468.05,0.01,148.0
26,PARW,"4,000-5,000'",308.69,0.48,7880.0
26,PARW,"5,000-6,000'",142.76,4.93,37508.0
26,PARW,"6,000-7,000'",21.04,11.89,13342.0
27,PRV,"3,000-4,000'",347.97,0.0,0.0
27,PRV,"4,000-5,000'",1753.39,0.0,0.0
27,PRV,"5,000-6,000'",540.93,0.0,0.0
27,PRV,"6,000-7,000'",22.2,0.33,386.0
28,PWDO,"3,000-4,000'",49.13,0.0,0.0
28,PWDO,"4,000-5,000'",163.13,0.0,0.0
28,PWDO,"5,000-6,000'",90.64,0.0,0.0
28,PWDO,"6,000-7,000'",31.76,2.2,3730.0
28,PWDO,"7,000-8,000'",12.55,14.53,9725.0
28,PWDO,"8,000-9,000'",0.77,19.91,820.0
29,RIM,"2,000-3,000'",4.25,0.0,0.0
29,RIM,"3,000-4,000'",39.67,0.02,36.0
29,RIM,"4,000-5,000'",61.97,0.39,1284.0
29,RIM,"5,000-6,000'",61.78,3.96,13037.0
29,RIM,"6,000-7,000'",17.86,18.16,17298.0
29,RIM,"7,000-8,000'",0.48,30.0,772.0
30,RIR,"5,000-6,000'",107.82,0.0,0.0
30,RIR,"6,000-7,000'",484.56,0.0,0.0
30,RIR,"7,000-8,000'",44.5,0.54,1289.0
30,RIR,"8,000-9,000'",1.35,13.42,968.0
30,RIR,"9,000-10,000'",0.19,14.69,151.0
31,TEAI,"4,000-5,000'",0.19,0.0,0.0
31,TEAI,"5,000-6,000'",133.49,0.0,0.0
31,TEAI,"6,000-7,000'",398.26,0.0,95.0
31,TEAI,"7,000-8,000'",182.53,2.87,27977.0
31,TEAI,"8,000-9,000'",95.27,15.75,80032.0
31,TEAI,"9,000-10,000'",58.4,24.14,75194.0
31,TEAI,"10,000-11,000'",6.47,25.11,8661.0
32,UNY,"3,000-4,000'",16.89,0.0,0.0
32,UNY,"4,000-5,000'",160.04,0.0,0.0
32,UNY,"5,000-6,000'",104.44,0.05,285.0
32,UNY,"6,000-7,000'",26.93,4.56,6556.0
32,UNY,"7,000-8,000'",1.93,11.61,1195.0
33,VALO,"2,000-3,000'",495.95,0.0,0.0
33,VALO,"3,000-4,000'",756.08,0.0,0.0
33,VALO,"4,000-5,000'",1071.43,0.0,0.0
33,VALO,"5,000-6,000'",234.65,0.0,15.0
33,VALO,"6,000-7,000'",7.82,0.29,119.0
33,VALO,"7,000-8,000'",1.54,2.73,225.0
34,WAR,"3,000-4,000'",248.26,0.0,0.0
34,WAR,"4,000-5,000'",406.66,0.0,0.0
34,WAR,"5,000-6,000'",366.8,0.0,42.0
34,WAR,"6,000-7,000'",41.99,2.22,4965.0
34,WAR,"7,000-8,000'",10.91,13.79,8023.0
34,WAR,"8,000-9,000'",0.39,17.46,360.0
35,WLD,"6,000-7,000'",162.55,0.0,0.0
35,WLD,"7,000-8,000'",39.29,0.01,28.0
35,WLD,"8,000-9,000'",1.45,0.82,63.0
36,WOD,"5,000-6,000'",61.29,0.0,0.0
36,WOD,"6,000-7,000'",94.6,0.11,553.0
36,WOD,"7,000-8,000'",64.09,3.81,13034.0
36,WOD,"8,000-9,000'",33.4,8.97,15974.0
36,WOD,"9,000-10,000'",16.99,13.09,11860.0
36,WOD,"10,000-11,000'",3.19,14.98,2544.0
36,WOD,"11,000-12,000'",0.29,20.79,321.0
