No.,Basin Code,Elevation Band,Area (mi2),SWE (in.),Vol (AF)
12,HEII,"10,000-11,000'",184.94,22.41,221039
12,HEII,"11,000-12,000'",6.27,21.91,7331
12,HEII,"12,000-13,000'",0.29,19.35,299
13,HGH,"3,000-4,000'",103.76,1.11,6121
13,HGH,"4,000-5,000'",290.73,5.2,80659
13,HGH,"5,000-6,000'",479.06,10.4,265602
13,HGH,"6,000-7,000'",529.73,16.92,478041
13,HGH,"7,000-8,000'",246.43,21.72,285516
13,HGH,"8,000-9,000'",11.1,24.06,14242
14,HRSI,"2,000-3,000'",6.37,0,0
14,HRSI,"3,000-4,000'",109.36,0.01,44
14,HRSI,"4,000-5,000'",313.8,0.89,14905
14,HRSI,"5,000-6,000'",431.28,5.15,118400
14,HRSI,"6,000-7,000'",336.68,12.92,232023
14,HRSI,"7,000-8,000'",218.63,17.81,207704
14,HRSI,"8,000-9,000'",63.22,20.6,69460
14,HRSI,"9,000-10,000'",13.42,22.4,16031
14,HRSI,"10,000-11,000'",0.1,12.58,65
15,ISL,"6,000-7,000'",286.97,7.32,112102
15,ISL,"7,000-8,000'",139.87,11.04,82387
15,ISL,"8,000-9,000'",64.19,19.29,66035
15,ISL,"9,000-10,000'",8.59,18.79,8609
15,ISL,"10,000-11,000'",0.19,17.22,177
16,JCK,"6,000-7,000'",91.6,4.94,24147
16,JCK,"7,000-8,000'",270.85,12.18,175924
16,JCK,"8,000-9,000'",341.02,18.21,331196
16,JCK,"9,000-10,000'",89.29,22.47,106979
16,JCK,"10,000-11,000'",11.2,24.53,14646
16,JCK,"11,000-12,000'",0.48,19.86,511
17,KAC,"2,000-3,000'",19.4,0.07,69
17,KAC,"3,000-4,000'",20.17,2.81,3024
17,KAC,"4,000-5,000'",18.53,14.06,13900
17,KAC,"5,000-6,000'",5.02,25.25,6759
18,KEE,"2,000-3,000'",12.74,0.5,337
18,KEE,"3,000-4,000'",23.94,4.65,5937
18,KEE,"4,000-5,000'",14.29,18.56,14142
18,KEE,"5,000-6,000'",3.38,36.73,6618
18,KEE,"6,000-7,000'",0.1,34.39,177
19,LUC,"2,000-3,000'",0.77,0,0
19,LUC,"3,000-4,000'",136.39,0,0
19,LUC,"4,000-5,000'",491.8,0.07,1966
19,LUC,"5,000-6,000'",485.62,3.08,79674
19,LUC,"6,000-7,000'",301.55,10.75,172920
19,LUC,"7,000-8,000'",194.69,16.8,174440
19,LUC,"8,000-9,000'",91.8,22.48,110033
19,LUC,"9,000-10,000'",8.49,25.12,11379
20,MAN,"2,000-3,000'",1.06,0,0
20,MAN,"3,000-4,000'",9.46,0,0
20,MAN,"4,000-5,000'",19.69,1.05,1101
20,MAN,"5,000-6,000'",19.79,6.21,6550
20,MAN,"6,000-7,000'",5.89,12.24,3843
20,MAN,"7,000-8,000'",0.29,15.64,242
21,MCK,"1,000-2,000'",26.64,0,0
21,MCK,"2,000-3,000'",48.84,0,0
21,MCK,"3,000-4,000'",84.27,0,0
21,MCK,"4,000-5,000'",34.46,0.03,52
22,NACW,"1,000-2,000'",6.56,0,0
22,NACW,"2,000-3,000'",78.19,0,0
22,NACW,"3,000-4,000'",217.09,0.34,3930
22,NACW,"4,000-5,000'",218.24,2.64,30672
22,NACW,"5,000-6,000'",140.06,9.79,73124
22,NACW,"6,000-7,000'",25,19.58,26109
22,NACW,"7,000-8,000'",0.39,24.28,500
23,OCH,"3,000-4,000'",64.58,0,0
23,OCH,"4,000-5,000'",161.29,0,0
23,OCH,"5,000-6,000'",61.68,0.19,641
23,OCH,"6,000-7,000'",3.28,5.39,944
24,OWY,">5,000'",752.9,0.01,382
24,OWY,">6,000'",1099.43,0.51,29972
24,OWY,">7,000'",220.37,4.07,47887
24,OWY,">8,000'",26.64,8.52,12103
24,OWY,">9,000'",3.86,13.4,2759
24,OWY,">10,000'",0.19,15.88,164
25,OWY,"<2,000'",85.52,0,0
25,OWY,"<3,000'",911.3,0,0
25,OWY,"<4,000'",3227.81,0,86
25,OWY,"<5,000'",4369.42,0,473
26,PARW,"0-1,000'",12.55,0,0
26,PARW,"1,000-2,000'",587.16,0,0
26,PARW,"2,000-3,000'",861.49,0.1,4424
26,PARW,"3,000-4,000'",468.05,1.08,27013
26,PARW,"4,000-5,000'",308.69,4.75,78120
26,PARW,"5,000-6,000'",142.76,11.81,89894
26,PARW,"6,000-7,000'",21.04,17.05,19134
27,PRV,"3,000-4,000'",347.97,0,5
27,PRV,"4,000-5,000'",1753.39,0.02,1786
27,PRV,"5,000-6,000'",540.93,0.72,20864
27,PRV,"6,000-7,000'",22.2,6.86,8117
28,PWDO,"3,000-4,000'",49.13,0,0
28,PWDO,"4,000-5,000'",163.13,0.05,406
28,PWDO,"5,000-6,000'",90.64,1.02,4952
28,PWDO,"6,000-7,000'",31.76,7.14,12088
28,PWDO,"7,000-8,000'",12.55,19.02,12729
28,PWDO,"8,000-9,000'",0.77,21.98,905
29,RIM,"2,000-3,000'",4.25,0,0
29,RIM,"3,000-4,000'",39.67,0.27,575
29,RIM,"4,000-5,000'",61.97,1.59,5266
29,RIM,"5,000-6,000'",61.78,6.11,20135
29,RIM,"6,000-7,000'",17.86,23.25,22144
29,RIM,"7,000-8,000'",0.48,35.7,919
30,RIR,"5,000-6,000'",107.82,0.06,368
30,RIR,"6,000-7,000'",484.56,7.75,200369
30,RIR,"7,000-8,000'",44.5,11.46,27199
30,RIR,"8,000-9,000'",1.35,20.37,1468
30,RIR,"9,000-10,000'",0.19,23.49,242
31,TEAI,"4,000-5,000'",0.19,2.09,22
31,TEAI,"5,000-6,000'",133.49,3.46,24668
31,TEAI,"6,000-7,000'",398.26,6.04,128309
31,TEAI,"7,000-8,000'",182.53,9.29,90405
31,TEAI,"8,000-9,000'",95.27,19.25,97816
31,TEAI,"9,000-10,000'",58.4,26.23,81700
31,TEAI,"10,000-11,000'",6.47,26.89,9275
32,UNY,"3,000-4,000'",16.89,0,0
32,UNY,"4,000-5,000'",160.04,0.43,3635
32,UNY,"5,000-6,000'",104.44,1.7,9481
32,UNY,"6,000-7,000'",26.93,7.46,10721
32,UNY,"7,000-8,000'",1.93,13.23,1362
33,VALO,"2,000-3,000'",495.95,0,0
33,VALO,"3,000-4,000'",756.08,0,0
33,VALO,"4,000-5,000'",1071.43,0,80
33,VALO,"5,000-6,000'",234.65,0.29,3577
33,VALO,"6,000-7,000'",7.82,3.23,1347
33,VALO,"7,000-8,000'",1.54,7.9,651
34,WAR,"3,000-4,000'",248.26,0,0
34,WAR,"4,000-5,000'",406.66,0.05,1095
34,WAR,"5,000-6,000'",366.8,1.16,22699
34,WAR,"6,000-7,000'",41.99,5.44,12181
34,WAR,"7,000-8,000'",10.91,17.21,10009
34,WAR,"8,000-9,000'",0.39,21.14,435
35,WLD,"6,000-7,000'",162.55,0.1,876
35,WLD,"7,000-8,000'",39.29,1.63,3406
35,WLD,"8,000-9,000'",1.45,8.46,653
36,WOD,"5,000-6,000'",61.29,0.02,68
36,WOD,"6,000-7,000'",94.6,2.87,14461
36,WOD,"7,000-8,000'",64.09,7.69,26288
36,WOD,"8,000-9,000'",33.4,11.41,20319
36,WOD,"9,000-10,000'",16.99,16.42,14873
36,WOD,"10,000-11,000'",3.19,19.18,3259
36,WOD,"11,000-12,000'",0.29,19.31,298
