,,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026
8. Eastern Nevada,"8,000-9,000'",25,1.3,29,"75,657","1,111.30",1.8 ( 3 ),NA,0.4
8. Eastern Nevada,"9,000-10,000'",46,2.7,54.6,"43,938",309.5,5.5 ( 2 ),NA,1.7
8. Eastern Nevada,"10,000-11,000'",63,4.3,76.7,"20,244",87.8,5.9 ( 2 ),NA,3.4
8. Eastern Nevada,">11,000'",69,5.3,80.7,"5,303",18.8,NA,NA,3.5
9. Flathead,"3,000-4,000'",33,0.5,12.5,"56,064","2,118.20",3.6 ( 1 ),NA,0.6
9. Flathead,"4,000-5,000'",69,1.3,19.3,"129,678","1,920.60",3.9 ( 3 ),2.4 ( 3 ),2.7
9. Flathead,"5,000-6,000'",200,4.2,43.5,"376,933","1,682.00",9.3 ( 3 ),9.8 ( 3 ),9
9. Flathead,"6,000-7,000'",289,9.3,74.1,"688,657","1,392.90",21.9 ( 6 ),16.6 ( 3 ),16.7
9. Flathead,"7,000-8,000'",268,13.1,86.1,"342,701",491.4,NA,NA,20.9
9. Flathead,"8,000-9,000'",272,15.9,85.2,"32,105",37.7,NA,NA,21.6
9. Flathead,"9,000-10,000'",">300†	",18.6,83.6,"1,630",1.6,NA,NA,16.7
10. Grande Ronde-Burnt-Powder_Imnaha,"4,000-5,000'",15,0.8,17.8,"132,902","3,104.90",1.0 ( 1 ),0.0 ( 1 ),0.7
10. Grande Ronde-Burnt-Powder_Imnaha,"5,000-6,000'",30,2,29.5,"149,328","1,382.50",5.1 ( 7 ),4.1 ( 3 ),2.5
10. Grande Ronde-Burnt-Powder_Imnaha,"6,000-7,000'",70,5.9,58.1,"150,235",477.3,3.1 ( 1 ),8.1 ( 1 ),5.2
10. Grande Ronde-Burnt-Powder_Imnaha,"7,000-8,000'",98,13.2,83.1,"191,708",271.5,7.4 ( 2 ),NA,7.6
10. Grande Ronde-Burnt-Powder_Imnaha,"8,000-9,000'",107,17.3,79.6,"71,608",77.8,NA,NA,8.3
10. Grande Ronde-Burnt-Powder_Imnaha,"9,000-10,000'",96,12.6,79.3,"1,300",1.9,NA,NA,3.4
11. Guano,"5,000-6,000'",0,0,0,0,"1,512.90",0.0 ( 1 ),NA,0
11. Guano,"6,000-7,000'",0,0,0.2,469,525.7,NA,0.1 ( 2 ),0
11. Guano,"7,000-8,000'",32,2.6,22.2,"3,338",24.3,NA,NA,0
12. Harney-Malheur Lakes,"5,000-6,000'",6,0.2,4.5,"3,270",254.2,NA,0.0 ( 2 ),0
12. Harney-Malheur Lakes,"6,000-7,000'",5,0.3,5.1,443,26.4,NA,NA,0
13. John Day,"5,000-6,000'",5,0.3,4.9,"16,519","1,202.60",1.7 ( 3 ),NA,0.7
13. John Day,"6,000-7,000'",39,2.9,34.9,"38,169",247.5,NA,NA,1.9
13. John Day,"7,000-8,000'",85,9.1,75.3,"25,594",53,NA,NA,3.5
13. John Day,"8,000-9,000'",99,10.3,68.1,904,1.6,NA,NA,4.8
14. Kootenai,"4,000-5,000'",102,1.5,20.4,"69,159",880.8,4.5 ( 2 ),NA,3.7
14. Kootenai,"5,000-6,000'",174,4.9,44.5,"158,517",611.9,10.8 ( 2 ),17.8 ( 1 ),10.2
14. Kootenai,"6,000-7,000'",244,10.5,73,"96,564",172.1,24.5 ( 1 ),NA,21.3
14. Kootenai,">7,000'",249,15.2,90.6,"5,730",7,NA,NA,28
15. Lake County-Goose Lake,"5,000-6,000'",4,0.2,4.9,"25,513","2,708.10",0.2 ( 1 ),0.8 ( 2 ),0
15. Lake County-Goose Lake,"6,000-7,000'",26,2,37.5,"83,477",801.6,NA,1.7 ( 5 ),0.3
15. Lake County-Goose Lake,"7,000-8,000'",52,5.1,66,"30,149",111.4,7.0 ( 1 ),NA,2.6
15. Lake County-Goose Lake,"8,000-9,000'",63,8,84.4,"1,073",2.5,NA,NA,4.3
16. Little Humboldt,"6,000-7,000'",4,0.3,3.9,"4,480",326.8,1.6 ( 2 ),NA,0
16. Little Humboldt,"7,000-8,000'",31,2.5,30.5,"11,158",84.7,NA,NA,0.2
16. Little Humboldt,"8,000-9,000'",53,5.5,62.4,"2,556",8.8,3.2 ( 1 ),NA,0.8
16. Little Humboldt,"9,000-10,000'",85,9,66.4,232,0.5,NA,NA,1.2
17. Lower Clark Fork,"5,000-6,000'",162,4.4,46,"256,806","1,098.30",20.2 ( 1 ),11.2 ( 1 ),7.9
17. Lower Clark Fork,"6,000-7,000'",225,9,75.8,"166,728",348.7,25.7 ( 1 ),15.2 ( 1 ),14.2
17. Lower Clark Fork,"7,000-8,000'",269,13.2,95,"19,054",27.1,23.6 ( 1 ),NA,22.7
17. Lower Clark Fork,"8,000-9,000'",273,13.2,100,407,0.6,NA,NA,25.9
18. Lower Humboldt,"6,000-7,000'",1,0.1,1.4,564,207.6,0.0 ( 1 ),NA,0
18. Lower Humboldt,"7,000-8,000'",9,0.5,6.9,"1,233",48.6,NA,NA,0
18. Lower Humboldt,"8,000-9,000'",33,2.5,28,"2,106",15.9,NA,NA,0
18. Lower Humboldt,"9,000-10,000'",71,6.8,44.6,176,0.5,NA,NA,0
19. Lower Pend Oreille,"5,000-6,000'",104,5.2,47.5,"30,044",109.3,9.6 ( 1 ),NA,11.1
19. Lower Pend Oreille,">6,000'",131,10.5,82.1,"13,537",24.1,NA,NA,16
20. Lower Snake-Asotin,"3,000-4,000'",6,0.1,2.4,866,192.5,0.1 ( 1 ),NA,0
20. Lower Snake-Asotin,"4,000-5,000'",34,1.6,38.5,"8,602",102.1,NA,NA,1
20. Lower Snake-Asotin,"5,000-6,000'",58,4.4,84.7,"8,826",37.5,3.2 ( 1 ),NA,4.9
20. Lower Snake-Asotin,"6,000-7,000'",65,6.7,97.1,590,1.6,NA,NA,10.9
21. Lower Snake-Tucannon,"4,000-5,000'",29,1.4,32.7,"4,883",64.2,NA,NA,2
21. Lower Snake-Tucannon,"5,000-6,000'",66,4.5,78.7,"10,092",41.8,NA,NA,6.2
21. Lower Snake-Tucannon,"6,000-7,000'",105,8.2,98.7,"1,015",2.3,NA,NA,11.9
22. Lower Yakima,"3,000-4,000'",4,0.2,4.3,"2,623",311.2,NA,NA,1.3
22. Lower Yakima,"4,000-5,000'",26,1.9,31.1,"12,916",127.1,4.2 ( 1 ),NA,2.6
22. Lower Yakima,"5,000-6,000'",48,4.4,58.4,"8,765",37.4,10.6 ( 1 ),NA,7.2
22. Lower Yakima,"6,000-7,000'",69,8,84.6,"3,995",9.4,NA,NA,11.1
23. Malheur,"5,000-6,000'",18,1.1,20.4,"50,980",857.7,3.0 ( 3 ),0.3 ( 2 ),1
23. Malheur,"6,000-7,000'",44,3.8,49.8,"21,091",104.2,NA,NA,3.3
23. Malheur,"7,000-8,000'",80,9.4,83.6,"13,685",27.3,NA,NA,4.1
24. Middle Humboldt,"6,000-7,000'",4,0.2,6.7,"6,000",473.7,NA,NA,0
24. Middle Humboldt,"7,000-8,000'",27,1.6,22.7,"12,238",145.7,NA,NA,0.1
24. Middle Humboldt,"8,000-9,000'",48,3.6,39.8,"2,499",13,NA,NA,0.2
24. Middle Humboldt,"9,000-10,000'",54,3.9,43.8,122,0.6,NA,NA,0.2
25. Northern Big Smoky Valley,"7,000-8,000'",11,0.5,12.9,"7,899",318.1,NA,NA,0
25. Northern Big Smoky Valley,"8,000-9,000'",23,1.3,29.1,"10,447",154.3,NA,NA,0.4
25. Northern Big Smoky Valley,"9,000-10,000'",45,3.1,64,"12,080",72.5,NA,NA,1.6
25. Northern Big Smoky Valley,"10,000-11,000'",58,4.5,72.7,"5,926",24.7,NA,NA,2.1
25. Northern Big Smoky Valley,"11,000-12,000'",59,4.4,81.4,744,3.2,NA,NA,1.6
26. Northern Great Basin,"6,000-7,000'",3,0.1,2.9,"14,807","1,927.20",0.1 ( 1 ),0.0 ( 1 ),0
26. Northern Great Basin,"7,000-8,000'",26,1.8,24.2,"24,678",255.9,2.3 ( 1 ),0.0 ( 1 ),0.1
26. Northern Great Basin,"8,000-9,000'",58,5.4,58.2,"11,947",41.4,NA,NA,0.4
26. Northern Great Basin,"9,000-10,000'",58,5.8,87,120,0.4,NA,NA,1.8
27. Panhandle Basins,"3,000-4,000'",103,1.3,24.2,"50,677",706,2.2 ( 1 ),NA,2.6
27. Panhandle Basins,"4,000-5,000'",131,3.1,36,"83,928",508.9,18.3 ( 1 ),5.2 ( 1 ),7.5
27. Panhandle Basins,"5,000-6,000'",147,7.2,59.8,"131,837",345.4,NA,NA,14.4
27. Panhandle Basins,"6,000-7,000'",173,13,81.5,"57,158",82.3,19.9 ( 1 ),NA,20.9
27. Panhandle Basins,"7,000-8,000'",163,11.1,78,"1,198",2,NA,NA,19.8
28. Reese,"7,000-8,000'",9,0.5,14.9,"6,967",285.6,2.4 ( 1 ),NA,0
28. Reese,"8,000-9,000'",25,1.6,36.8,"13,306",152,3.1 ( 1 ),NA,0.4
28. Reese,"9,000-10,000'",42,3.2,61,"7,985",47,NA,NA,1.6
28. Reese,">10,000'",58,4.7,74.1,"3,085",12.3,NA,NA,2.3
29. Rock,"5,000-6,000'",0,0,0,42,592.8,NA,NA,0
29. Rock,"6,000-7,000'",4,0.3,3.4,"3,108",210.5,NA,NA,0
29. Rock,"7,000-8,000'",32,2.5,28.7,"3,980",29.5,4.9 ( 1 ),NA,0.9
29. Rock,"8,000-9,000'",70,7.1,67.7,"1,023",2.7,NA,NA,3.9
30. Salmon Basin,"5,000-6,000'",41,1.8,32.5,"196,753","2,056.60",5.5 ( 1 ),NA,2.8
30. Salmon Basin,"6,000-7,000'",79,4.6,64.5,"883,818","3,572.20",10.7 ( 2 ),NA,6.5
30. Salmon Basin,"7,000-8,000'",99,7.3,81,"1,492,633","3,809.10",10.6 ( 2 ),NA,9.1
30. Salmon Basin,"8,000-9,000'",107,9.2,86.1,"944,968","1,935.60",11.8 ( 5 ),12.2 ( 1 ),9.7
30. Salmon Basin,"9,000-10,000'",115,11.2,83.6,"299,517",502.6,11.4 ( 1 ),NA,10.8
30. Salmon Basin,"10,000-11,000'",117,11.7,77,"44,642",71.3,NA,NA,8.4
30. Salmon Basin,"11,000-12,000'",128,13.5,76,"2,222",3.1,NA,NA,3.2
31. Silver,"5,000-6,000'",2,0.1,1.3,"2,222",440.7,NA,NA,0
31. Silver,"6,000-7,000'",10,0.8,13,145,3.6,NA,NA,0.4
32. Silvies,"4,000-5,000'",2,0.1,2.9,"3,997",714.7,NA,NA,0
32. Silvies,"5,000-6,000'",11,0.6,12.6,"19,146",569.1,0.5 ( 1 ),NA,0.2
32. Silvies,"6,000-7,000'",25,1.8,28.8,"3,110",31.9,2.5 ( 1 ),NA,1.7
32. Silvies,"7,000-8,000'",100,12.1,82.8,"1,125",1.7,NA,NA,4.3
33. Southern Snake Basins,"5,000-6,000'",1,0,1.6,"16,053","8,155.90",0.0 ( 1 ),0.0 ( 4 ),0
33. Southern Snake Basins,"6,000-7,000'",17,1.1,18.2,"186,318","3,288.10",0.5 ( 5 ),0.2 ( 3 ),0.2
33. Southern Snake Basins,"7,000-8,000'",45,3.6,46.9,"172,593",905.4,2.5 ( 4 ),NA,1
33. Southern Snake Basins,"8,000-9,000'",63,5.9,69.9,"53,544",168.8,7.1 ( 3 ),NA,4.3
33. Southern Snake Basins,"9,000-10,000'",81,8.7,80.4,"15,307",33.1,NA,NA,7
33. Southern Snake Basins,"10,000-11,000'",96,10.4,82.6,698,1.3,NA,NA,10.7
34. Spokane,"3,000-4,000'",59,1,23.4,"86,779","1,667.20",2.1 ( 1 ),NA,1.3
34. Spokane,"4,000-5,000'",128,2.8,39.5,"151,213","1,010.00",5.2 ( 4 ),NA,4.2
34. Spokane,"5,000-6,000'",200,6.2,61.1,"138,525",418,8.9 ( 2 ),NA,9.3
34. Spokane,"6,000-7,000'",260,10.7,81.9,"27,154",47.4,NA,NA,15.3
34. Spokane,"7,000-8,000'",253,13.3,87,137,0.2,NA,NA,20.9
35. St. Mary,"4,000-5,000'",25,1,17.6,"9,576",184.7,2.9 ( 1 ),NA,0.5
35. St. Mary,"5,000-6,000'",72,3.3,45.3,"37,487",210.7,NA,NA,4.8
35. St. Mary,"6,000-7,000'",140,6.5,48.7,"53,482",154.2,NA,NA,14
35. St. Mary,"7,000-8,000'",172,10.2,64.8,"53,386",98.3,NA,NA,12.8
35. St. Mary,">8,000'",199,11.6,72.8,"12,516",20.3,NA,NA,11.1
36. Truckee,"5,000-6,000'",41,0.5,7.9,"19,646",688.2,NA,NA,0.9
36. Truckee,"6,000-7,000'",56,3.3,41.6,"85,560",484.5,7.7 ( 5 ),NA,3.7
36. Truckee,"7,000-8,000'",56,6.2,66.6,"65,279",195.9,9.1 ( 1 ),NA,7.3
36. Truckee,"8,000-9,000'",64,9.6,86.6,"30,675",59.9,14.7 ( 3 ),NA,13.1
36. Truckee,"9,000-10,000'",72,12.1,93.7,"9,167",14.2,NA,NA,18.2
36. Truckee,"10,000-11,000'",78,12.7,81.8,588,0.9,NA,NA,19.6
37. Umatilla-Walla Walla-Willow,"3,000-4,000'",3,0.1,5.5,"3,281",892.5,0.2 ( 1 ),NA,0.1
37. Umatilla-Walla Walla-Willow,"4,000-5,000'",14,0.7,14,"17,811",472.7,3.1 ( 2 ),NA,0.7
37. Umatilla-Walla Walla-Willow,"5,000-6,000'",38,2.8,41,"10,341",69.1,6.4 ( 3 ),NA,3.8
38. Upper Humboldt,"5,000-6,000'",1,0.1,6.3,"7,127","2,395.90",NA,0.0 ( 1 ),0.1
38. Upper Humboldt,"6,000-7,000'",9,0.5,14,"55,532","1,944.70",2.5 ( 1 ),1.0 ( 2 ),0.2
38. Upper Humboldt,"7,000-8,000'",35,2.5,41.7,"58,761",436.8,1.9 ( 2 ),1.4 ( 2 ),1.2
38. Upper Humboldt,"8,000-9,000'",50,4.5,66.6,"35,732",150.5,4.1 ( 5 ),7.7 ( 1 ),2.9
38. Upper Humboldt,"9,000-10,000'",65,6.6,74.7,"30,602",87.2,NA,NA,3.7
38. Upper Humboldt,">10,000'",79,8,82.8,"8,897",20.8,NA,NA,4.6
39. Walker,"6,000-7,000'",3,0.1,16.6,"2,350",677,NA,NA,0.5
39. Walker,"7,000-8,000'",17,0.6,50.9,"19,899",618.8,7.0 ( 1 ),NA,1.3
39. Walker,"8,000-9,000'",37,2.4,75.2,"48,320",373.7,9.0 ( 2 ),NA,3.2
39. Walker,"9,000-10,000'",62,7.3,82.5,"72,628",186.6,13.6 ( 4 ),NA,9.4
39. Walker,"10,000-11,000'",68,9.9,80.2,"39,352",74.8,NA,NA,11.5
39. Walker,">11,000'",76,8.7,81.7,"5,557",12,NA,NA,8.4
40. West Central Basins,"4,000-5,000'",12,0.8,19.6,"64,449","1,578.50",1.0 ( 3 ),NA,0.8
40. West Central Basins,"5,000-6,000'",32,2.7,48,"245,733","1,710.20",5.4 ( 3 ),2.7 ( 5 ),2.8
40. West Central Basins,"6,000-7,000'",63,6.4,79,"431,194","1,262.20",10.3 ( 8 ),5.8 ( 5 ),7.2
40. West Central Basins,"7,000-8,000'",87,10.5,93,"455,082",814.3,15.0 ( 3 ),NA,12.8
40. West Central Basins,"8,000-9,000'",98,13.3,91.6,"208,262",293.5,NA,NA,16.2
40. West Central Basins,">9,000'",106,15.1,88.1,"34,980",43.4,NA,NA,18.3
